date,"Dassault Systèmes","Sword France"
2015-05-27,6,7
2015-05-27,6,7
2015-05-28,9,7
2015-05-28,9,7
2015-05-29,9,7
2015-05-30,9,7
2015-05-31,9,7
2015-06-01,13,7
2015-06-02,16,7
2015-06-03,16,7
2015-06-04,16,7
2015-06-05,16,7
2015-06-06,16,7
2015-06-07,16,6
2015-06-08,16,7
2015-06-09,16,7
2015-06-10,16,7
2015-06-11,16,7
2015-06-12,13,7
2015-06-13,13,7
2015-06-14,13,7
2015-06-15,13,7
2015-06-16,13,7
2015-06-17,13,7
2015-06-18,13,7
2015-06-19,13,7
2015-06-20,13,7
2015-06-21,13,7
2015-06-22,13,7
2015-06-23,13,7
2015-06-24,13,7
2015-06-25,13,7
2015-06-26,13,7
2015-06-27,13,7
