date,"Crédit Agricole CIB","BNP Paribas","Confidential Company - Undisclosed","Société Générale",EY,"Crédit Agricole"
2015-05-27,,6,,,,14
2015-05-27,,6,,,,14
2015-05-28,,6,,,,14
2015-05-28,,6,,,,14
2015-05-29,,6,,,,14
2015-05-30,,6,,,,
2015-05-31,,6,,,,
2015-06-01,,6,,,5,
2015-06-02,,6,,,,
2015-06-03,,6,,5,,
2015-06-04,,6,,6,,
2015-06-05,,6,,6,,
2015-06-06,,6,,6,,
2015-06-07,,6,,6,,
2015-06-08,,5,,6,,
2015-06-09,,5,,5,,
2015-06-10,,5,6,5,,
2015-06-11,,5,6,,,
2015-06-16,,5,7,,,
2015-06-18,,6,5,5,,
2015-06-22,,6,7,6,,
2015-06-23,,6,7,6,,
2015-06-24,,6,7,5,,
2015-06-25,,5,7,6,,
2015-06-29,,6,8,5,,
2015-06-30,,6,6,5,,
2015-07-08,8,,,,,
2015-07-11,8,,,,,
2015-07-12,8,,,,,
2015-07-13,8,,,,,
2015-07-14,8,,,,,
2015-07-15,8,,,,,
2015-07-16,8,,,,,
2015-07-17,8,,,,,
