date,IBM,Alcatel-Lucent,Amazon,"Amazon UK"
2015-05-28,9,,9,9
2015-05-29,9,,8,9
2015-05-30,9,,8,9
2015-05-31,9,,8,9
2015-06-01,9,,8,9
2015-06-02,10,,8,9
2015-06-03,9,,9,9
2015-06-04,11,,9,8
2015-06-05,11,,9,8
2015-06-06,11,,9,9
2015-06-07,11,,8,9
2015-06-08,11,,8,9
2015-06-09,11,,8,8
2015-06-10,11,,7,9
2015-06-11,11,,7,8
2015-06-12,13,,7,8
2015-06-13,13,,7,7
2015-06-14,13,,7,8
2015-06-15,13,,7,9
2015-06-16,13,,9,9
2015-06-17,15,,9,9
2015-06-18,15,5,9,8
2015-06-19,15,5,9,8
2015-06-20,15,5,9,8
2015-06-21,15,5,9,8
2015-06-22,15,5,9,8
2015-06-23,15,5,9,5
2015-06-24,14,5,9,5
2015-06-25,14,5,5,
2015-06-26,14,5,5,
2015-06-27,14,5,5,
2015-06-28,14,5,5,
2015-06-29,14,5,5,
2015-06-30,13,5,5,
