date,NATS,"Black &amp; Veatch","Big Data Partnership","Xpat Jobs.com"
2015-03-11,13,12,,
2015-03-12,14,12,,
2015-03-16,13,13,,
2015-03-18,12,14,,
2015-03-18,12,14,,
2015-03-19,11,14,,
2015-03-20,11,14,,
2015-03-21,11,14,,
2015-03-22,11,14,,
2015-03-23,11,14,,
2015-03-24,11,14,,
2015-03-25,11,14,,
2015-03-26,11,14,,
2015-03-27,13,14,,
2015-03-28,13,14,,
2015-03-29,10,8,,
2015-03-30,13,14,,
2015-03-31,13,8,,
2015-04-01,15,8,,
2015-04-02,16,7,,
2015-04-03,14,8,,
2015-04-04,12,8,,
2015-04-05,12,7,,
2015-04-06,12,8,,
2015-04-07,12,8,,
2015-04-08,13,8,,
2015-04-09,12,8,,
2015-04-10,14,8,,
2015-04-11,13,8,,
2015-04-12,12,8,,
2015-04-13,12,8,,
2015-04-14,12,8,,
2015-04-15,11,8,,
2015-04-16,11,8,,
2015-04-17,11,8,,
2015-04-18,11,8,,6
2015-04-19,11,8,,9
2015-04-20,12,8,,9
2015-04-21,12,8,,
2015-04-22,13,8,,
2015-04-23,16,8,,
2015-04-24,18,8,,
2015-04-25,17,8,,
2015-04-26,15,8,,
2015-04-27,15,8,,
2015-04-28,18,7,,
2015-04-29,18,7,,
2015-04-30,16,7,,
2015-05-01,16,7,,
2015-05-02,16,7,,
2015-05-03,16,7,,
2015-05-04,16,8,,
2015-05-05,17,8,,
2015-05-06,18,8,,
2015-05-07,18,8,,
2015-05-08,15,8,,
2015-05-09,15,8,,
2015-05-10,13,8,,
2015-05-11,12,7,,
2015-05-12,12,8,,
2015-05-13,12,8,,
2015-05-14,12,8,,
2015-05-15,12,8,,
2015-05-16,12,8,,
2015-05-17,12,8,,
2015-05-18,12,8,,
2015-05-19,12,8,,
2015-05-20,13,8,,
2015-05-21,15,8,,
2015-05-22,14,8,,
2015-05-23,12,8,,
2015-05-24,10,8,,
2015-05-25,10,7,,
2015-05-26,12,7,,
2015-05-27,13,8,,
2015-05-27,14,8,,
2015-05-28,12,8,6,
2015-05-29,13,8,6,
2015-05-30,12,8,6,
2015-05-31,12,8,5,
2015-06-01,13,8,5,
2015-06-02,14,8,5,
2015-06-03,15,8,,
2015-06-04,16,8,,
2015-06-05,16,8,5,
2015-06-06,16,8,5,
2015-06-07,16,8,5,
2015-06-08,17,8,5,
2015-06-09,17,8,5,
2015-06-10,19,8,6,
2015-06-11,19,8,6,
2015-06-12,19,,,
2015-06-13,19,8,8,
2015-06-14,19,,,
2015-06-15,19,,,
2015-06-16,20,8,8,
2015-06-17,20,8,7,
2015-06-18,20,8,7,
2015-06-19,20,,,
2015-06-20,20,8,7,
2015-06-21,19,7,7,
2015-06-22,19,7,7,
2015-06-23,19,,,
2015-06-24,20,8,7,
2015-06-25,20,,,
2015-06-26,20,,,
2015-06-27,20,,,
2015-06-28,20,8,8,
2015-06-29,20,,,
2015-06-30,20,,,
2015-07-01,20,,,
2015-07-02,19,,,
2015-07-03,18,,,
2015-07-04,17,,,
2015-07-05,16,,,
2015-07-07,17,,,
2015-07-08,17,,,
2015-07-09,16,,,
2015-07-10,14,,,
2015-07-11,14,,,
2015-07-12,14,,,
2015-07-13,14,,,
2015-07-14,14,,,
2015-07-15,17,,,
2015-07-16,18,,,
2015-07-17,15,,,
2015-07-18,15,,,
2015-07-19,14,,,
2015-07-20,14,,,
2015-07-21,14,,,
