date,"Sopra Steria","Dassault Systèmes",Microsoft,Thales,Deloitte,Ericsson,"Calypso Technology","See More",Dell,Capgemini,"Johnson &amp; Johnson","Confidential Company - Undisclosed","BNP Paribas","Airbus Group","Société Générale","Veolia Energy","Alstom Group","Crédit Foncier",HSBC,Atos,"Allianz Group","EADS Defence &amp; Security",CNRS,DuPont,"Gfi Informatique","Schneider Electric",Cat-Amania,"Cap Fi Groupe","Crédit Agricole"
2015-05-27,6,16,,5,17,,,5,,,7,111,27,19,33,,10,6,6,,,7,,,,10,,,33
2015-05-27,6,16,,5,17,,,5,,,7,111,27,19,33,,10,6,6,,,7,,,,9,,,33
2015-05-28,6,21,,7,17,,,6,,,7,110,27,19,32,8,10,,6,,,7,,,,9,,,33
2015-05-28,,21,,7,16,,,6,,,7,110,27,19,32,8,10,10,6,,,10,,,,9,,,35
2015-05-29,6,21,,8,17,,,6,,,7,116,27,19,29,10,9,10,,,,10,,,,10,,,36
2015-05-30,6,21,,8,17,,,5,,,7,130,26,19,26,11,10,10,,,,10,,,,8,,5,
2015-05-31,6,21,,8,17,,,5,,,7,127,26,19,25,11,10,11,,,,10,,,,8,,5,
2015-06-01,6,22,,8,17,,,6,,,7,80,26,20,25,11,10,11,,,,8,,,,8,,,
2015-06-02,9,22,,,15,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,10,25,,,17,,,7,,,7,131,27,20,27,13,9,11,11,,,8,,,24,8,,,
2015-06-04,,25,,,17,,,8,,,,131,27,22,27,13,10,11,13,10,8,11,,,23,9,,,
2015-06-05,9,25,,,15,,,9,,,,78,27,23,27,14,10,11,13,10,,11,,,22,9,,,
2015-06-06,9,25,,,15,,,9,,,,79,27,23,27,14,10,11,13,10,9,9,,,22,,,,
2015-06-07,9,25,,8,15,,,8,,,,80,27,23,26,13,10,11,13,10,,9,,,21,,,,
2015-06-08,9,25,,9,15,,,8,,,,80,26,23,26,13,9,11,13,10,,,,,21,8,,,
2015-06-09,12,25,,9,15,,,8,,,,84,26,21,27,13,9,11,13,10,,,,,20,8,,,
2015-06-10,13,28,,10,15,,,8,,,,84,26,21,27,11,12,,13,10,9,,,,20,8,,,
2015-06-11,10,25,,10,15,,,8,,,,84,25,21,24,11,12,,12,10,,,,,21,9,8,,
2015-06-12,9,21,,10,15,,,8,,,,85,25,21,24,13,12,,12,10,,,,,23,9,8,,
2015-06-13,9,21,,10,15,,,8,,,,80,25,22,24,12,12,,13,10,,,,,23,8,8,,
2015-06-14,9,21,,10,16,,,8,,,,70,25,22,24,13,12,,14,10,,,,,23,8,8,,
2015-06-15,,21,,10,16,,,8,,,,70,26,22,23,13,12,11,14,10,,10,,,23,8,,,
2015-06-16,,21,17,10,16,,,10,,,,85,26,23,23,12,12,11,13,10,11,,,,24,,,,
2015-06-17,6,20,17,11,13,,,6,,,6,,,,,,,,,,,,,8,,,,,
2015-06-18,,24,18,12,15,,,12,,18,,79,26,22,25,12,13,12,12,,,12,,,24,,,,
2015-06-19,9,24,18,10,13,,,5,,,6,,,,,,,,,,,,5,8,,,,,
2015-06-20,9,24,18,10,13,,,5,,,6,,,,,,,,,,,,5,8,,,,,
2015-06-21,9,24,18,10,13,,,5,,,6,,,,,,,,,,,,5,8,,,,,
2015-06-22,23,25,18,11,15,,,11,,17,,72,26,24,25,13,15,11,12,,,,,,24,,,,
2015-06-23,23,26,18,10,13,,,5,,,6,,,,,,,,,,,,5,6,,,,,
2015-06-24,24,26,18,12,14,,,10,,17,,78,27,23,22,16,15,,12,,10,10,,,,,,,
2015-06-25,22,26,18,11,9,,,5,,,6,,,,,,,,,,,,5,,,,,,
2015-06-26,22,25,18,11,9,,,6,,,6,,,,,,,,,,,,,,,,,,
2015-06-27,22,25,18,11,11,,,9,,,,85,27,22,20,17,14,,9,9,9,9,,,,,,,
2015-06-28,22,25,18,11,11,,,9,,,,76,27,22,20,17,16,10,9,9,9,,,,,,,,
2015-06-29,22,25,18,11,12,,,6,,,6,,,,,,,,,,,,,,,,,,
2015-06-30,23,25,18,13,12,,,6,,16,6,,,,,,,,,,,,,,,,,,
2015-07-01,23,26,19,12,13,,,6,,16,6,,,,,,,,,,,,,,,,,,
2015-07-02,25,26,19,12,13,,,6,,,6,,,,,,,,,,,,,,,,,,
2015-07-03,25,26,19,11,13,,,6,,,6,,,,,,,,,,,,,,,,,,
2015-07-04,25,26,19,11,13,,,6,,,6,,,,,,,,,,,,,,,,,,
2015-07-05,25,26,19,11,13,,,6,,31,6,,,,,,,,,,,,,,,,,,
2015-07-06,25,26,19,10,13,,,6,,31,6,,,,,,,,,,,,,,,,,,
2015-07-07,25,23,19,10,13,,,6,,31,6,,,,,,,,,,,,,,,,,,
2015-07-08,28,25,19,,13,,,6,,31,6,,,,,,,,,,,,,,,,,,
2015-07-09,27,25,18,10,13,,,10,,32,,,,,,,,,,,,,,,,,,,
2015-07-10,26,25,18,10,13,,,10,,32,,,,,,,,,,,,,,,,,,,
2015-07-11,30,25,18,9,13,,,9,,32,,,,,,,,,,,,,,,,,,,
2015-07-12,30,25,18,9,13,,,9,,32,,,,,,,,,,,,,,,,,,,
2015-07-13,29,22,18,,13,,,,,32,,,,,,,,,,,,,,,,,,,
2015-07-14,29,24,19,,13,,,5,5,32,,,,,,,,,,,,,,,,,,,
2015-07-15,29,24,19,,13,,,5,5,32,,,,,,,,,,,,,,,,,,,
2015-07-16,29,19,19,,13,,,,5,,,,,,,,,,,,,,,,,,,,
2015-07-17,30,23,19,14,12,,,5,5,,,,,,,,,,,,,,,,,,,,
2015-07-18,30,23,19,15,12,,,5,5,,,,,,,,,,,,,,,,,,,,
2015-07-19,28,23,19,15,12,,,5,5,,,,,,,,,,,,,,,,,,,,
2015-07-20,27,23,19,18,13,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,28,23,19,18,13,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,29,23,19,18,13,,5,5,,,,,,,,,,,,,,,,,,,,,
2015-07-23,29,23,19,18,14,6,5,5,,,,,,,,,,,,,,,,,,,,,
