date,Brussels,Antwerp,Bruges,Gent,Liège
2015-05-28,22,,,,
2015-05-28,22,5,,,
2015-05-29,22,6,,,
2015-05-30,21,6,,,
2015-05-31,21,6,,,
2015-06-01,21,6,,,
2015-06-02,21,7,,,
2015-06-03,22,7,,,
2015-06-04,24,7,,,
2015-06-05,26,7,,,
2015-06-06,26,7,,,
2015-06-07,26,7,,,
2015-06-08,26,7,,,
2015-06-09,25,10,,,
2015-06-10,28,10,,,
2015-06-11,32,10,,,
2015-06-12,32,9,,,
2015-06-13,32,9,,,
2015-06-14,32,9,,,
2015-06-15,30,9,,,
2015-06-16,28,9,,,
2015-06-17,26,9,,,
2015-06-18,27,11,,,
2015-06-19,25,10,,,
2015-06-20,24,9,,,
2015-06-21,24,9,,,
2015-06-22,26,11,,,
2015-06-23,27,11,,,
2015-06-24,27,11,,,
2015-06-25,27,13,,,
2015-06-26,30,13,,,
2015-06-27,40,15,9,8,
2015-06-28,41,16,9,8,
2015-06-29,41,16,9,8,
2015-06-30,40,17,8,9,5
2015-07-01,43,18,8,9,5
2015-07-02,44,17,8,9,5
2015-07-03,43,14,8,8,5
2015-07-04,41,14,8,8,5
2015-07-05,40,14,8,8,5
