date,Brussels,Antwerp,Gent,Liège
2015-05-28,27,16,,
2015-05-28,27,17,,
2015-05-29,30,18,,
2015-05-30,30,18,,
2015-05-31,30,18,,
2015-06-01,31,21,,
2015-06-02,33,19,,
2015-06-03,33,17,,
2015-06-04,32,17,,
2015-06-05,35,17,,
2015-06-06,35,16,,
2015-06-07,35,15,,
2015-06-08,36,14,,
2015-06-09,35,16,,
2015-06-10,36,14,,
2015-06-11,35,14,,
2015-06-12,30,10,,
2015-06-13,30,10,,
2015-06-14,30,10,,
2015-06-15,29,12,,
2015-06-16,30,12,,
2015-06-17,30,11,,
2015-06-18,30,18,5,
2015-06-19,29,18,5,
2015-06-20,28,17,5,
2015-06-21,28,17,,
2015-06-22,30,18,,
2015-06-23,28,17,,
2015-06-24,30,17,,
2015-06-25,30,18,5,
2015-06-26,33,20,5,
2015-06-27,40,26,10,
2015-06-28,41,29,10,
2015-06-29,41,29,10,
2015-06-30,44,31,9,
2015-07-01,46,34,11,
2015-07-02,44,34,11,
2015-07-03,43,35,11,
2015-07-04,43,35,11,
2015-07-05,41,35,11,
2015-07-07,41,39,10,
2015-07-08,47,37,9,
2015-07-09,47,35,9,5
2015-07-10,44,34,9,5
2015-07-11,46,34,9,5
2015-07-12,44,34,9,7
2015-07-13,43,35,9,7
2015-07-14,43,35,9,7
2015-07-15,44,36,9,7
2015-07-16,44,35,8,7
2015-07-17,48,37,10,6
