date,Brussels,Antwerp,Gent
2015-05-28,47,19,
2015-05-28,46,20,
2015-05-29,49,20,
2015-05-30,48,20,
2015-05-31,48,20,
2015-06-01,50,21,
2015-06-02,49,21,
2015-06-03,52,21,
2015-06-04,54,21,
2015-06-05,53,20,
2015-06-06,51,19,
2015-06-07,48,19,
2015-06-08,44,19,
2015-06-09,44,20,5
2015-06-10,42,17,5
2015-06-11,41,19,6
2015-06-12,40,18,6
2015-06-13,40,18,6
2015-06-14,40,18,6
2015-06-15,45,19,6
2015-06-16,47,19,6
2015-06-17,49,20,6
2015-06-18,46,21,6
