date,Zürich,Basel
2015-05-28,9,
2015-05-28,9,
2015-05-29,5,
2015-05-30,5,
2015-05-31,8,
2015-06-01,9,
2015-06-02,10,
2015-06-03,13,
2015-06-04,10,7
2015-06-05,10,7
2015-06-06,10,8
2015-06-07,11,8
2015-06-08,11,8
2015-06-09,12,8
2015-06-10,11,8
2015-06-11,11,9
2015-06-12,10,9
2015-06-13,11,9
2015-06-14,11,8
2015-06-15,13,8
2015-06-16,15,6
2015-06-17,15,6
2015-06-18,16,7
2015-06-19,19,7
2015-06-20,19,7
2015-06-21,19,7
2015-06-22,19,7
2015-06-23,19,8
2015-06-24,19,8
2015-06-25,20,10
2015-06-26,20,9
2015-06-27,18,9
2015-06-28,18,10
2015-06-29,18,11
2015-06-30,19,11
2015-07-01,18,9
2015-07-02,15,9
2015-07-03,14,9
2015-07-04,14,9
2015-07-05,14,9
2015-07-07,13,12
2015-07-08,15,11
2015-07-09,14,12
2015-07-10,13,12
2015-07-11,13,12
2015-07-12,13,12
2015-07-13,15,12
2015-07-14,15,12
2015-07-15,19,12
2015-07-16,17,11
2015-07-17,15,11
2015-07-18,14,
2015-07-19,14,
2015-07-20,15,
2015-07-21,14,
2015-07-22,15,
