date,Zürich,Basel,Geneva
2015-05-28,39,14,13
2015-05-28,40,14,13
2015-05-29,36,12,14
2015-05-30,36,13,14
2015-05-31,34,13,15
2015-06-01,33,14,13
2015-06-02,37,14,14
2015-06-03,42,13,15
2015-06-04,55,19,15
2015-06-05,61,17,15
2015-06-06,61,17,15
2015-06-07,61,16,15
2015-06-08,60,16,15
2015-06-09,63,14,16
2015-06-10,61,14,17
2015-06-11,61,15,17
2015-06-12,62,15,18
2015-06-13,63,16,18
2015-06-14,63,16,18
2015-06-15,63,16,16
2015-06-16,62,17,14
2015-06-17,60,17,15
2015-06-18,62,17,15
2015-06-19,60,17,14
2015-06-20,60,17,14
2015-06-21,59,17,14
2015-06-22,60,18,15
2015-06-23,60,18,14
2015-06-24,62,17,18
2015-06-25,61,15,17
2015-06-26,61,15,19
2015-06-27,58,15,19
2015-06-28,58,16,20
2015-06-29,60,16,20
2015-06-30,56,16,20
2015-07-01,55,15,21
2015-07-02,14,6,
2015-07-03,15,6,
2015-07-04,15,,
2015-07-05,15,,
