date,Paris,Lille,Lyon,Rouen,Marseille,Nice,Montpellier,"See More",Brive-La-Gaillarde,Strasbourg,Bourges,Toulouse,Bordeaux,Nantes,Grenoble,"La Rochelle",Limoges,Mulhouse
2015-05-27,128,,9,5,,,,5,,,,6,,,8,,7,
2015-05-27,126,,9,5,,,,5,,,,6,,,8,,7,
2015-05-28,124,5,7,7,,,,5,,,,6,,,8,,7,
2015-05-28,124,5,7,7,,,,5,,,,6,,,8,,7,
2015-05-29,125,5,9,7,,,,5,,,,5,,,7,,6,
2015-05-30,113,6,12,5,,,,5,,,,5,,,8,,5,
2015-05-31,117,6,13,5,,,,5,,,,,,,8,,5,
2015-06-01,113,5,8,5,,,,5,,,,,,,6,,5,
2015-06-02,116,5,8,5,,,,5,,,,,,,6,,5,
2015-06-03,115,5,9,,,,,,,,,,,,7,,,5
2015-06-04,126,5,9,,,,,,,,,,,,6,,,5
2015-06-05,125,5,7,,,,,,,,,,,,5,,,
2015-06-06,123,5,7,5,,,,,,,,,,,5,,,
2015-06-07,121,7,9,,,,,,,,,,,,6,,5,
2015-06-08,117,7,9,,,,,,,,,,,,6,,,
2015-06-09,115,6,8,5,,,,,,,,,,,6,,,
2015-06-10,120,,9,,,,,,,,,,,,,,,
2015-06-11,120,6,9,,,,,,,,,,,,7,,,
2015-06-12,124,,11,,,,,,,,,,,,,,,
2015-06-13,120,,12,5,,,,,,,,,,,,,,
2015-06-14,121,,11,5,,,,,,,,,,,,,,
2015-06-15,127,,,5,,,,,,,,,,,,,,
2015-06-16,130,5,11,5,,,,5,,,,5,,,7,,,
2015-06-17,137,8,,6,,,,,,,,7,,,,,,
2015-06-18,136,8,,6,,,,,,,,7,,,,,,
2015-06-19,141,7,8,6,,,,5,,,,6,,,6,5,,
2015-06-20,140,6,9,6,,,,5,,,,8,,,6,5,,
2015-06-21,137,7,8,5,,,,5,,,,5,,,6,6,,
2015-06-22,142,7,9,5,5,,,5,,,,5,,,5,6,,
2015-06-23,142,7,11,6,5,6,,5,,,,8,,,,,,
2015-06-24,137,8,11,5,5,5,,5,,,,7,,7,,,,
2015-06-25,132,8,11,5,5,5,,5,,,,,,6,,,,
2015-06-26,135,7,11,6,5,5,,5,,,,,,6,,,,
2015-06-27,130,8,10,7,5,5,,5,,,,8,6,5,5,6,,
2015-06-28,131,7,11,7,5,6,,5,,,,,,,,,,
2015-06-29,129,7,11,7,,6,,5,,,,8,5,,5,5,,
2015-06-30,155,10,12,8,6,6,,5,,5,,,,,,,,
2015-07-01,134,,14,6,,6,,5,,,,7,6,6,5,,,
2015-07-02,148,,14,6,,6,,,,,,,,,,,,
2015-07-03,163,7,14,7,,6,,5,5,,,,,,,,,
2015-07-04,159,7,14,7,,6,,5,5,,,,,,,,,
2015-07-05,148,6,17,8,,6,,5,5,,5,,,,,,,
2015-07-06,147,6,17,8,,6,,5,5,,5,,,,,,,
2015-07-07,159,13,16,8,,6,,5,5,5,,,,,,,,
2015-07-08,167,13,16,7,6,6,,5,5,5,,,,,,,,
2015-07-09,156,14,18,8,5,5,,5,6,6,,,,,,,,
2015-07-10,167,15,16,9,5,,,5,5,6,,,,,,,,
2015-07-11,176,15,16,9,6,5,5,5,5,6,,,,,,,,
2015-07-12,177,14,16,9,5,6,5,5,6,6,,,,,,,,
2015-07-13,175,17,15,8,5,6,6,5,6,6,,,,,,,,
2015-07-14,176,17,15,9,5,6,5,5,6,6,,,,,,,,
2015-07-15,173,18,14,9,5,6,,5,6,5,,,,,,,,
2015-07-16,175,18,14,9,6,6,,6,6,,,,,,,,,
2015-07-17,179,16,15,10,6,6,5,5,,,,,,,,,,
2015-07-18,181,16,14,10,6,6,5,5,,,,,,,,,,
