date,Paris,Lyon,Nice,Strasbourg,Lille,Marseille,Rennes,"See More",Amsterdam,Grenoble
2015-05-27,170,8,,,7,,,,,
2015-05-27,174,7,,,7,,,,,
2015-05-28,175,7,,,7,,,,,
2015-05-28,181,7,,,7,,,,,
2015-05-29,182,7,,,7,,,,,
2015-05-30,165,7,,,6,,,,,
2015-05-31,166,8,,,6,,,,,
2015-06-01,146,,,,5,,,,,
2015-06-02,164,,,,6,,,,,
2015-06-03,179,5,,,7,,,,,5
2015-06-04,184,5,7,,8,,,,,5
2015-06-05,175,5,7,,6,,,,,5
2015-06-06,157,5,,,,5,,,,
2015-06-07,175,5,7,,6,,,,,5
2015-06-08,174,5,7,,5,,,,,5
2015-06-09,178,5,8,5,5,6,,5,,5
2015-06-10,171,5,9,,5,5,,5,,5
2015-06-11,177,5,11,6,,5,,5,,6
2015-06-12,180,6,12,6,6,6,,6,,6
2015-06-13,181,6,12,7,6,5,,5,,7
2015-06-14,181,5,11,6,6,6,,5,,7
2015-06-15,166,8,13,6,5,6,,5,,
2015-06-16,175,7,13,7,5,5,,5,,8
2015-06-17,189,7,13,6,5,5,,5,,8
2015-06-18,197,6,11,6,7,5,,5,,8
2015-06-19,172,7,11,7,6,5,,5,,
2015-06-20,170,7,11,8,5,5,,5,,
2015-06-21,171,6,11,8,,5,,5,,5
2015-06-22,169,6,11,6,,5,,5,,5
2015-06-23,199,7,12,6,5,5,,5,,6
2015-06-24,199,7,12,6,5,5,,5,,7
2015-06-25,165,17,11,6,,,,,,
2015-06-26,186,19,13,6,,,5,5,,5
2015-06-27,178,18,12,7,5,,5,5,,6
2015-06-28,180,19,12,6,,,,,,6
2015-06-29,189,19,12,6,,,,,,5
2015-06-30,197,18,12,7,,,,,,5
2015-07-01,202,19,11,6,,,,,,5
2015-07-02,176,19,11,6,,,,,,
2015-07-03,177,19,11,9,,,,,,
2015-07-04,172,18,9,9,,,,,,
2015-07-05,168,17,11,7,,,,,,
2015-07-06,171,19,12,7,,,,,,
2015-07-07,179,19,12,8,,,,,,
2015-07-08,189,18,12,8,,5,,,,
2015-07-09,179,16,13,8,,,,,,
2015-07-10,187,16,12,7,,,,,5,
2015-07-11,192,17,12,6,,,,,,
2015-07-12,185,16,12,6,5,,,,,
2015-07-13,191,15,12,5,5,,,,,
2015-07-14,189,16,12,5,5,,,,,
2015-07-15,187,16,10,5,5,5,,5,,
2015-07-16,190,15,10,,5,5,,,,
2015-07-17,187,14,13,7,,5,,,,
2015-07-18,189,14,12,8,,5,,,,
2015-07-19,192,14,12,7,5,5,,5,,
2015-07-20,199,14,12,7,,5,,,,
2015-07-21,193,15,12,8,6,,,,,
2015-07-22,186,13,12,8,6,5,5,5,,
