date,IBM,Microsoft,Quantcast
2015-05-28,6,,17
2015-05-29,6,,16
2015-05-30,6,,18
2015-05-31,6,,18
2015-06-01,6,,18
2015-06-02,7,,18
2015-06-03,6,,15
2015-06-04,8,,15
2015-06-05,8,,16
2015-06-06,8,,16
2015-06-07,8,,16
2015-06-08,8,,16
2015-06-09,8,,16
2015-06-10,8,,16
2015-06-11,8,,12
2015-06-12,8,,11
2015-06-13,8,,11
2015-06-14,8,,11
2015-06-15,8,,11
2015-06-16,8,,11
2015-06-17,9,,11
2015-06-18,9,,10
2015-06-19,9,,10
2015-06-20,9,,10
2015-06-21,9,,10
2015-06-22,9,,10
2015-06-23,9,,11
2015-06-24,10,,11
2015-06-25,10,,10
2015-06-26,9,,11
2015-06-27,9,,12
2015-06-28,9,,12
2015-06-29,9,,12
2015-06-30,9,,11
2015-07-01,8,,11
2015-07-02,8,,
2015-07-03,8,,
2015-07-04,8,,
2015-07-05,8,,
2015-07-07,8,,
2015-07-08,8,,
2015-07-09,8,6,
2015-07-10,8,7,
2015-07-11,7,6,
2015-07-12,7,6,
2015-07-13,7,6,
2015-07-14,7,6,
2015-07-15,7,6,
2015-07-16,8,6,
2015-07-17,10,7,
2015-07-18,10,7,
2015-07-19,10,7,
2015-07-20,8,7,
2015-07-21,7,,
