date,"WSP Sverige",Acando,CGI,Nordea,King,IBM,"KTH Royal Institute of Technology",Qlik,"Electronic Arts (EA)",H&amp;M,Spotify,"Lund University",Ooyala,SAS,CEB,"See More",EY,"Red Executive","Academic Work",Cognizant,Ramboll,"Cybercom Group",Boardtalk,"Hammer &amp; Hanborg"
2015-05-28,22,8,,,,23,,16,,,,,,,,5,,,,5,6,,7,5
2015-05-29,22,8,,,,23,,17,,,,,,,,5,,,,5,,,7,5
2015-05-30,22,8,,,,23,,17,,,,,,,,5,,,,5,,,6,5
2015-05-31,22,8,,,,23,,17,,,,,,,,5,,,,5,6,,6,5
2015-06-01,11,7,,,,24,,14,,,,,,,,5,,,,5,,5,6,5
2015-06-02,11,6,,,,25,,14,,,,,,,,5,,,,5,6,5,6,5
2015-06-03,11,9,,,,23,,16,,,,,,,,5,,,,5,6,5,7,5
2015-06-04,11,9,,,,24,,16,,,,,,,,5,,,,5,6,5,6,5
2015-06-05,11,8,,5,,23,,16,,,,,,,,5,,,,5,6,5,6,
2015-06-06,11,8,,5,,23,,16,,,,,,,,5,,,,5,6,5,5,
2015-06-07,11,8,,5,,23,,16,,,,,,,,5,,,,5,6,5,,
2015-06-08,11,7,,,,23,,15,,,,,,,,5,,,,5,6,5,,
2015-06-09,11,7,,5,,20,,15,,,,,,,,5,5,,,5,6,5,,
2015-06-10,11,6,,5,,19,,14,,,,,,,,5,5,,,5,7,5,,
2015-06-11,11,6,,,,18,,14,,,,,,,,5,5,,,5,8,5,,
2015-06-12,11,7,,,,17,,,,,,,,,,5,5,,,5,8,6,,
2015-06-13,11,7,,,,17,,,,,,,,,,5,5,,,5,8,6,,
2015-06-14,11,7,,,,17,,,,,,,,,,5,5,,,5,8,6,,
2015-06-15,11,7,,,5,18,,17,,,,,,,,5,5,,,5,8,,,
2015-06-16,11,7,,,5,18,,17,,,,,,,,5,6,,,5,8,,,
2015-06-17,11,7,,,5,18,,16,,,,,,,,5,5,,,5,8,,,
2015-06-18,11,6,,,,20,,16,,,,,,,,5,5,,5,5,8,,,
2015-06-19,11,6,,5,5,22,,16,,,,,,,,5,5,,5,5,5,,,
2015-06-20,11,6,,5,5,22,,16,,,,,,,,5,5,,5,5,5,,,
2015-06-21,11,6,,5,5,22,,16,,,,,,,,5,5,,5,5,5,,,
2015-06-22,11,6,6,5,5,22,,17,,,,,,,,5,5,,5,5,7,,,
2015-06-23,12,6,6,6,5,22,,17,,,,,,,,5,5,,,5,,,,
2015-06-24,11,6,6,6,5,22,,18,,,,,,,,5,5,,5,5,,,,
2015-06-25,11,8,5,,6,21,,7,,,,,,,,5,5,,5,,,,,
2015-06-26,12,9,6,5,6,22,,20,,,6,,,6,,5,5,,5,,,,,
2015-06-27,11,9,6,5,6,44,,20,,9,11,,,6,,5,5,,5,,,,,
2015-06-28,11,9,6,5,6,49,,20,16,9,11,,7,6,6,5,5,,5,,,,,
2015-06-29,11,8,6,5,6,49,,20,16,10,10,,8,6,6,5,5,6,,,,,,
2015-06-30,11,9,6,6,6,51,,17,16,10,10,,8,6,6,6,6,6,,,,,,
2015-07-01,11,9,6,7,6,48,18,17,15,10,10,9,8,6,6,6,,,,,,,,
2015-07-02,11,6,5,,5,,,,,,,,,,,,,,,,,,,
2015-07-03,11,6,5,5,5,,,,,,,,,,,,,,,,,,,
2015-07-04,11,6,5,5,5,,,,,,,,,,,,,,,,,,,
