date,Qbranch,"JS Sverige","Västra Götalandsregionen",SAS,Nordea,"Electronic Arts (EA)","Karolinska Institutet"
2015-06-23,,,,,5,,
2015-06-24,,,,,5,,
2015-06-26,,,,6,,,
2015-06-27,,,7,6,,,
2015-06-28,,,11,6,,5,
2015-06-29,,,12,6,6,5,
2015-06-30,,,13,6,7,5,
2015-07-01,,,34,6,6,5,5
2015-07-10,6,,,,,,
2015-07-11,6,,,,,,
2015-07-12,6,5,,,,,
2015-07-13,6,5,,,,,
2015-07-14,6,6,,,,,
2015-07-15,6,6,,,,,
2015-07-16,6,6,,,,,
2015-07-17,6,5,,,,,
2015-07-18,6,5,,,,,
2015-07-19,6,6,,,,,
2015-07-20,6,6,,,,,
2015-07-21,6,5,,,,,
2015-07-22,6,5,,,,,
