date,London
2015-03-11,6
2015-03-12,6
2015-03-16,7
2015-03-18,8
2015-03-18,8
2015-03-19,10
2015-03-20,10
2015-03-21,9
2015-03-22,9
2015-03-23,9
2015-03-24,9
2015-03-25,9
2015-03-26,8
2015-03-27,8
2015-03-28,8
2015-03-29,8
2015-03-30,8
2015-03-31,10
2015-04-01,8
2015-04-02,7
2015-04-03,7
2015-04-04,7
2015-04-05,7
2015-04-06,7
2015-04-07,7
2015-04-08,7
2015-04-09,8
2015-04-10,9
2015-04-11,8
2015-04-12,8
2015-04-13,7
2015-04-14,7
2015-04-15,8
2015-04-16,8
2015-04-17,7
2015-04-18,7
2015-04-19,9
2015-04-20,9
2015-04-21,6
2015-04-22,5
2015-04-23,5
2015-04-24,5
2015-04-25,5
2015-04-26,5
2015-04-27,5
2015-04-28,6
2015-04-29,6
2015-04-30,5
2015-05-01,5
2015-05-10,5
2015-05-11,5
2015-05-12,5
2015-05-13,5
2015-05-14,5
2015-05-15,5
2015-05-16,5
2015-05-17,5
2015-05-18,5
2015-05-19,5
2015-05-20,5
2015-05-21,5
2015-05-22,5
2015-05-23,5
2015-05-24,5
2015-05-25,5
2015-05-26,5
2015-05-27,5
2015-05-30,5
2015-05-31,5
2015-06-01,6
2015-06-02,6
2015-06-03,6
2015-06-04,5
2015-06-09,6
2015-06-10,6
2015-06-11,6
2015-06-12,6
2015-06-13,6
2015-06-14,6
2015-06-15,6
2015-06-16,6
2015-06-17,6
2015-06-18,8
2015-06-19,8
2015-06-20,8
2015-06-21,7
2015-06-22,7
2015-06-23,7
2015-06-24,5
2015-06-25,5
2015-06-26,5
2015-06-27,5
2015-06-28,5
2015-06-30,9
2015-07-01,9
2015-07-02,5
2015-07-03,5
2015-07-04,5
2015-07-05,6
2015-07-07,6
2015-07-08,11
2015-07-09,8
2015-07-10,8
2015-07-11,9
2015-07-12,9
2015-07-13,9
2015-07-14,9
2015-07-15,9
2015-07-16,9
2015-07-17,8
2015-07-18,8
