date,IBM,"Intel Corporation","Aon Centre for Innovation and Analytics (ACIA)","KPMG Ireland",Alcatel-Lucent,EMC,Facebook,"Computer Futures",EY,"RELX Group"
2015-05-28,,,,,,,9,,,
2015-05-29,,,,,,,7,,,
2015-05-30,,,,,,,7,,,
2015-05-31,,,,,,,7,,,
2015-06-01,,,,,,,7,,,
2015-06-02,5,,,,,,7,,,
2015-06-03,5,,,,,,7,,,
2015-06-04,5,,,,,,7,,,
2015-06-05,5,,,,,,7,,,
2015-06-06,5,,,,,,7,,,
2015-06-07,5,,,,,,7,,,
2015-06-08,5,,,,,,6,,,
2015-06-09,5,,,,,,5,,,
2015-06-10,5,,,,,,6,,,
2015-06-11,5,,5,,,,6,,,
2015-06-12,5,,,,,,6,,,
2015-06-13,5,,,,,,6,,,5
2015-06-14,5,,,,,,6,,,5
2015-06-15,5,,5,,,,6,,,5
2015-06-16,5,,5,,,,6,,,
2015-06-17,5,,9,,,,7,,,
2015-06-18,5,,10,,5,,7,,,5
2015-06-19,5,,11,,5,,6,,,5
2015-06-20,5,,11,,5,,6,,,
2015-06-21,5,,11,,5,,6,,,5
2015-06-22,,,11,,5,,6,,5,
2015-06-23,,,11,,5,,6,,5,
2015-06-24,,,11,,5,5,6,,,
2015-06-25,,,10,,5,5,6,,,
2015-06-26,,,10,,5,,6,,,
2015-06-27,,,11,,5,,6,,,
2015-06-28,,,11,,5,,6,,,
2015-06-29,,,11,,5,,6,,,
2015-06-30,,,11,,5,5,5,7,,
2015-07-01,,,11,,5,5,8,8,,
2015-07-02,,,9,,5,,,,,
2015-07-03,,,9,,5,,,,,
2015-07-04,,,9,,5,,,,,
2015-07-05,,,9,,5,,,,,
2015-07-07,,,10,,5,,9,10,,
2015-07-08,,,10,,5,,9,10,,
2015-07-09,,,10,,5,,9,,,
2015-07-10,,,10,,5,,10,,,
2015-07-11,,,10,,5,,8,,,
2015-07-12,,,10,,5,,8,,,
2015-07-13,,,10,,5,,8,,,
2015-07-14,,,10,,5,,7,,,
2015-07-15,,,10,,5,5,,,,
2015-07-16,,,10,,5,5,,,,
2015-07-17,,,7,,5,,,,,
2015-07-18,5,,7,,5,,,,,
2015-07-19,5,,5,,5,5,,,,
2015-07-20,5,,5,,5,5,,,,
2015-07-21,5,,5,7,5,,,,,
2015-07-22,5,,5,7,,,,,,
2015-07-23,5,5,5,5,,,,,,
