Involvement,count
"I manage data scientists",4
"I work with data scientists but am not one myself",3
"I am a practicing data scientist but with gaps in certain areas eg statistics",13
"I am a practicing data scientist with excellent knowledge in all areas",4
"My primary role is not data science by I practice occasionally",1
