Skills,not_required,essential,nice_to_have
"Math and statistics",3,6,5
"Machine learning",5,4,5
"Domain expertise",6,4,4
"Data skills",,7,7
"Advanced computing",2,6,6
"Data visualisation",,7,7
"Scientific method",,12,2
"Open Culture",4,5,5
