Training,essential,nice_to_have,not_required
"Tailored to sector",5,15,6
"Face to face training",20,4,2
eLearning,16,8,2
Webinars,13,13,
"Uses nonopen nonfree software",2,13,11
Coaching,10,6,10
Accredited,7,12,7
"Internal assignments",4,6,16
Assessed,5,9,12
"Translated from English",2,12,12
"Commercial element",1,,
"Practical experience",1,,
"Use Open Source Software",,1,
"Use English material",,1,
"Theoretical education",1,,
"Interactive, hands on",1,,
