Skills,essential,nice_to_have,not_required
"Domain expertise",5,9,6
"Advanced computing",9,9,2
"Open Culture",6,9,5
"Data realisation",,1,
"Math and statistics",9,8,3
"Data skills",12,8,
"Data visualisation",13,7,
"Machine learning",5,10,5
"Scientific method",17,3,
Communication,3,,
"Cobol programming",,,1
"Watterfall project planning",,,1
"Telling Data Stories",,1,
"Team work",1,,
