Training,essential,nice_to_have,not_required
"Tailored to sector",9,17,6
"Face to face training",26,4,2
eLearning,20,9,3
Webinars,16,16,
"Uses nonopen nonfree software",2,16,14
Coaching,11,7,14
Accredited,7,18,7
"Internal assignments",4,6,22
Assessed,5,10,17
"Translated from English",2,14,16
