Sectors,count
Telecomms,1
Consultancy,4
Environment,1
"Data and Information Systems",8
"Government and public sector",3
"Finance Insurance and Real Estate",1
Energy,1
"Media and Advertising",1
"Consumer services",1
Health,1
Transport,1
Education,1
