Type,"Machine learning","Domain expertise","Data skills","Advanced computing","Data visualisation","Scientific method","Open Culture","Math and statistics"
capability,2.0833333333333,2.2916666666667,2.56,2,2.1739130434783,2.4583333333333,2.3478260869565,2.16
capacity,1.9166666666667,2.2083333333333,2.32,1.8695652173913,2.0869565217391,2.2083333333333,2.2083333333333,2.04
