Skills,essential,nice_to_have,not_required
"Machine learning",7,16,9
"Data skills",20,12,
"Scientific method",22,9,1
"Open Culture",9,14,9
"Domain expertise",11,13,8
"Advanced computing",14,15,3
"Data visualisation",19,13,
"Math and statistics",17,10,5
