date,Microsoft,"Tableau Software",Deloitte,"Confidential Company - Undisclosed","Airbus Group","Schneider Electric","Veolia Energy","Société Générale","CA Indosuez Private Banking","BNP Paribas","Allianz Group","Alstom Group","EADS Defence &amp; Security","See More","Alternance Business","Crédit Agricole"
2015-05-27,,6,9,58,6,9,,10,,6,,5,,5,5,20
2015-05-27,,6,9,58,6,9,,10,,6,,5,,5,5,20
2015-05-28,,6,9,54,6,9,7,10,,6,,5,,5,,20
2015-05-28,,6,9,54,6,9,7,10,,6,,5,,5,,20
2015-05-29,,6,9,64,5,9,7,11,,6,,5,,5,,18
2015-05-30,,6,9,71,5,9,6,11,,6,,6,,5,5,
2015-05-31,,6,9,74,5,9,6,11,,6,,6,,5,5,
2015-06-01,,6,9,58,5,9,6,11,,6,,6,,5,5,
2015-06-02,,6,9,58,5,9,6,11,,6,,6,,5,6,
2015-06-03,,6,9,63,5,8,6,10,,6,,6,,5,6,
2015-06-04,,6,9,63,5,7,6,9,,5,6,6,,5,,
2015-06-05,,6,9,51,5,7,5,9,,5,6,6,,5,,
2015-06-06,,6,9,51,5,7,5,8,,5,6,6,,5,5,
2015-06-07,,6,9,56,5,7,5,8,,5,6,6,,5,5,
2015-06-08,,6,9,56,5,6,5,8,,,,6,,5,,
2015-06-09,,6,9,50,,6,5,8,,,,6,,5,5,
2015-06-10,,6,9,,,,,,,,,,,,,
2015-06-11,,6,9,56,,8,5,,,5,,6,,5,7,
2015-06-12,,6,9,,,,,,,,,,,,,
2015-06-13,,6,9,,,,,,,,,,,,,
2015-06-14,,6,9,,,,,,,,,,,,,
2015-06-15,,6,9,,,,,,,,,,,,,
2015-06-16,10,6,9,53,6,9,7,,,,,6,,6,,
2015-06-17,10,6,9,,,,,,,,,,,,,
2015-06-18,11,6,9,,,,,,,,,,,,,
2015-06-19,11,6,9,57,8,9,6,,8,,,5,5,5,7,
2015-06-20,11,6,9,56,9,9,7,6,8,,,5,5,5,7,
2015-06-21,11,6,9,51,9,9,7,6,8,,,5,5,5,5,
2015-06-22,11,6,9,51,9,9,7,7,8,,,5,5,5,5,
2015-06-23,11,8,9,,,,,,,,,,,,,
2015-06-24,11,8,9,,,,,,,,,,,,,
2015-06-25,11,8,9,,,,,,,,,,,,,
2015-06-26,11,8,9,,,,,,,,,,,,,
2015-06-27,11,8,9,70,12,8,8,9,,,5,5,6,5,,
2015-06-28,11,8,9,,,,,,,,,,,,,
2015-06-29,11,8,9,61,12,8,8,8,6,,5,5,6,5,,
2015-06-30,11,8,9,,,,,,,,,,,,,
2015-07-01,11,8,9,66,11,9,8,7,6,5,5,5,5,5,,
2015-07-02,11,7,9,,,,,,,,,,,,,
2015-07-03,11,7,9,,,,,,,,,,,,,
2015-07-04,11,7,9,,,,,,,,,,,,,
2015-07-05,11,7,9,,,,,,,,,,,,,
2015-07-06,11,7,9,,,,,,,,,,,,,
2015-07-07,11,7,9,,,,,,,,,,,,,
2015-07-08,11,8,9,,,,,,,,,,,,,
2015-07-09,11,9,9,,,,,,,,,,,,,
2015-07-10,11,9,9,,,,,,,,,,,,,
2015-07-11,11,9,9,,,,,,,,,,,,,
2015-07-12,11,9,9,,,,,,,,,,,,,
2015-07-13,11,9,9,,,,,,,,,,,,,
2015-07-14,11,9,9,,,,,,,,,,,,,
2015-07-15,11,9,9,,,,,,,,,,,,,
2015-07-16,11,9,9,,,,,,,,,,,,,
2015-07-17,11,9,9,,,,,,,,,,,,,
2015-07-18,11,9,9,,,,,,,,,,,,,
2015-07-19,11,9,9,,,,,,,,,,,,,
2015-07-20,11,9,9,,,,,,,,,,,,,
2015-07-21,11,9,9,,,,,,,,,,,,,
2015-07-22,11,10,9,,,,,,,,,,,,,
2015-07-23,11,10,9,,,,,,,,,,,,,
