date,London,Reading
2015-03-11,52,7
2015-03-12,49,6
2015-03-16,58,7
2015-03-18,60,6
2015-03-18,57,5
2015-03-19,58,5
2015-03-20,60,5
2015-03-21,60,5
2015-03-22,60,5
2015-03-23,63,6
2015-03-24,59,6
2015-03-25,57,6
2015-03-26,55,6
2015-03-27,58,6
2015-03-28,58,6
2015-03-29,57,6
2015-03-30,60,6
2015-03-31,58,5
2015-04-01,51,6
2015-04-02,53,5
2015-04-03,53,5
2015-04-04,50,5
2015-04-05,52,5
2015-04-06,53,
2015-04-07,53,
2015-04-08,50,5
2015-04-09,51,5
2015-04-10,50,6
2015-04-11,51,6
2015-04-12,50,6
2015-04-13,46,6
2015-04-14,45,6
2015-04-15,42,6
2015-04-16,43,6
2015-04-17,42,6
2015-04-18,47,6
2015-04-19,51,6
2015-04-20,51,6
2015-04-21,41,6
2015-04-22,43,5
2015-04-24,45,5
2015-04-25,47,5
2015-04-26,44,5
2015-04-27,47,7
2015-04-28,47,7
2015-04-29,46,
2015-04-30,45,
2015-05-01,45,
2015-05-02,45,
2015-05-03,46,
2015-05-04,48,
2015-05-05,46,
2015-05-06,50,
2015-05-07,46,
2015-05-08,44,
2015-05-09,42,
2015-05-10,42,
2015-05-11,42,
2015-05-12,48,
2015-05-13,48,
2015-05-14,47,
2015-05-15,51,
2015-05-16,47,
2015-05-17,47,
2015-05-18,49,
2015-05-19,48,
2015-05-20,52,
2015-05-21,54,
2015-05-22,52,
2015-05-23,50,
2015-05-24,50,
2015-05-25,50,
2015-05-26,49,
2015-05-27,50,
2015-05-27,51,
2015-05-28,57,
2015-05-29,51,5
2015-05-30,50,6
2015-05-31,51,7
2015-06-01,50,8
2015-06-02,49,7
2015-06-03,52,6
2015-06-04,49,6
2015-06-05,47,6
2015-06-06,46,5
