date,London,Stevenage
2015-03-11,17,
2015-03-12,20,
2015-03-16,19,
2015-03-18,18,
2015-03-18,18,
2015-03-19,20,
2015-03-20,20,
2015-03-21,19,
2015-03-22,19,
2015-03-23,20,
2015-03-24,19,
2015-03-25,18,
2015-03-26,18,
2015-03-27,17,
2015-03-28,17,
2015-03-29,17,
2015-03-30,17,
2015-03-31,15,
2015-04-01,16,
2015-04-02,15,
2015-04-03,13,
2015-04-04,13,
2015-04-05,14,
2015-04-06,14,
2015-04-07,14,
2015-04-08,15,
2015-04-09,15,
2015-04-10,15,
2015-04-11,15,
2015-04-12,15,
2015-04-13,15,
2015-04-14,16,
2015-04-15,14,
2015-04-16,13,
2015-04-17,13,
2015-04-18,13,5
2015-04-19,15,5
2015-04-20,20,5
2015-04-21,18,
2015-04-22,19,
2015-04-23,20,
2015-04-24,21,
2015-04-25,21,
2015-04-26,21,
2015-04-27,21,
2015-04-28,19,
2015-04-29,19,
2015-04-30,20,
2015-05-01,20,
2015-05-02,19,
2015-05-03,19,
2015-05-04,19,
2015-05-05,19,
2015-05-06,21,
2015-05-07,22,
2015-05-08,21,
2015-05-09,20,
2015-05-10,19,
2015-05-11,20,
2015-05-12,20,
2015-05-13,20,
2015-05-14,18,
2015-05-15,20,
2015-05-16,22,
2015-05-17,23,
2015-05-18,23,
2015-05-19,21,
2015-05-20,24,
2015-05-21,25,
2015-05-22,25,
2015-05-23,26,
2015-05-24,25,
2015-05-25,23,
2015-05-26,22,
2015-05-27,21,
2015-05-27,21,
2015-05-28,20,
2015-05-29,22,
2015-05-30,23,
2015-05-31,24,
2015-06-01,24,
2015-06-02,22,
2015-06-03,26,
2015-06-04,25,
2015-06-05,22,
2015-06-06,21,
2015-06-07,21,
2015-06-08,22,
2015-06-09,22,
2015-06-10,22,
2015-06-11,20,
2015-06-12,20,
2015-06-13,21,
2015-06-14,21,
2015-06-15,22,
2015-06-16,22,
2015-06-17,21,
