date,Milan,Rome,Bologna,Florence,Turin,"Monza and Brianza"
2015-05-28,30,15,10,,5,6
2015-05-29,29,15,9,,,6
2015-05-30,29,13,10,,,6
2015-05-31,29,13,10,,,6
2015-06-01,31,11,11,,,6
2015-06-02,31,16,10,,,6
2015-06-03,35,14,10,,,6
2015-06-04,34,8,9,,,5
2015-06-05,38,17,8,,,5
2015-06-06,39,17,9,,,5
2015-06-07,39,17,9,,,
2015-06-08,40,12,9,,5,
2015-06-09,42,21,10,,5,
2015-06-10,42,14,9,,5,
2015-06-11,43,22,8,,,
2015-06-12,44,19,9,,,
2015-06-13,42,17,9,,,
2015-06-14,42,18,8,,,
2015-06-15,43,17,8,,,
2015-06-16,43,19,8,,,
2015-06-17,45,19,8,,,
2015-06-18,45,19,7,,,
2015-06-19,44,18,6,,,
2015-06-20,44,18,6,,,
2015-06-21,44,18,6,,,
2015-06-22,44,19,5,,,
2015-06-23,46,18,5,,,
2015-06-24,47,17,7,,,
2015-06-25,50,17,6,,,
2015-06-26,48,17,6,,5,
2015-06-27,47,17,7,,5,
2015-06-28,47,17,7,,5,
2015-06-29,50,17,7,,5,
2015-06-30,51,17,7,,5,
2015-07-01,50,17,6,,5,
2015-07-02,52,20,6,,5,
2015-07-03,50,19,6,,5,
2015-07-04,51,19,6,,5,
2015-07-05,51,21,6,,,
2015-07-07,53,18,7,,,
2015-07-08,54,18,7,,,
2015-07-09,52,18,6,,,
2015-07-10,54,19,6,,,
2015-07-11,54,17,6,,,
2015-07-12,53,19,6,,,
2015-07-13,52,18,8,,,
2015-07-14,50,20,8,,,
2015-07-15,48,20,8,5,,
2015-07-16,48,19,8,5,,
2015-07-17,48,21,5,,,
2015-07-18,47,21,,,,
2015-07-19,47,20,,,,
2015-07-20,47,20,,,,
2015-07-21,48,20,5,,,
2015-07-22,50,19,6,,,
