date,Milan
2015-05-28,7
2015-05-29,9
2015-05-30,9
2015-05-31,9
2015-06-01,8
2015-06-02,8
2015-06-03,8
2015-06-04,8
2015-06-05,9
2015-06-06,8
2015-06-07,8
2015-06-08,9
2015-06-09,9
2015-06-10,12
2015-06-11,13
2015-06-12,15
2015-06-13,15
2015-06-14,14
2015-06-15,15
2015-06-16,15
2015-06-17,14
2015-06-18,13
2015-06-19,11
2015-06-20,11
2015-06-21,11
2015-06-22,11
2015-06-23,11
2015-06-24,12
2015-06-25,11
2015-06-26,11
2015-06-27,11
2015-06-28,9
2015-06-29,10
2015-06-30,9
2015-07-01,8
2015-07-02,8
2015-07-03,6
2015-07-04,6
