date,London,Birmingham,Manchester,Slough,Cambridge,Reading,Bristol,Twickenham,Swindon,Edinburgh,Coventry,Nottingham,Luton,"Newcastle upon Tyne","See More",Northampton,Glasgow,Oxford,Guildford,Southall,Tonbridge,"Southend on Sea",Liverpool,Redhill,"Kingston upon Thames","Milton Keynes",Ipswich,Brighton,"Hemel Hempstead","St Albans",Southampton,Warrington,Sheffield,Preston,Portsmouth,Leeds,Chelmsford
2015-03-11,390,15,14,49,24,27,24,14,,15,,16,,,14,,14,15,25,23,,,,,,,,,,,,,,,,,
2015-03-12,409,16,19,36,23,26,24,14,,23,,15,,,14,,14,15,27,24,,,,,,,,,,,,,,,,,
2015-03-16,456,14,26,37,24,26,23,17,,26,,17,,,14,,,18,28,29,,,,,,,,14,,,,,,,,,
2015-03-18,464,15,29,37,25,23,23,19,,26,,18,,,15,,,19,27,27,,,,,,,,15,,,,,,,,,
2015-03-18,470,15,29,37,25,23,23,19,,26,,18,,,15,,,19,28,27,,,,,,,,15,,,,,,,,,
2015-03-19,475,17,32,37,26,26,24,19,,29,,18,,,17,,,19,27,27,,,,,,,,17,,,,,,,,,
2015-03-20,504,15,40,37,29,29,27,19,,37,,18,,,15,,,19,25,18,,,,,,,,17,,,,,,,,,
2015-03-21,501,17,33,37,28,25,27,19,,30,,19,,,16,,,18,25,27,,,,,,,,16,,,,,,,,,
2015-03-22,497,17,33,37,27,25,27,19,,30,,19,,,16,,,18,25,27,,,,,,,,16,,,,,,,,,
2015-03-23,502,16,33,34,24,26,27,19,,30,,17,,,16,,,18,24,27,,,,,,,,16,,,,,,,,,
2015-03-24,488,19,31,36,21,28,28,21,,33,,,,,17,,20,18,24,27,,,,,,,,17,,,,,,,,,
2015-03-25,485,19,33,34,20,31,28,21,,32,,,,,17,,18,17,21,28,,,,,,,,17,,,,,,,,,
2015-03-26,487,16,31,33,21,30,29,20,,26,,,,,16,,18,19,23,28,,,,,,,,17,,,,,,,,,
2015-03-27,487,16,31,33,22,33,33,21,,26,,,,,16,,17,17,24,27,,,,,,,,18,,,,,,,,,
2015-03-28,472,14,32,35,22,34,34,20,,26,,,,,14,,17,16,24,25,,,,,,,,18,,,,,,,,,
2015-03-29,467,15,33,35,23,32,34,19,,26,,,,,15,,17,16,26,24,,,,,,,,18,,,,,,,,,
2015-03-30,471,14,29,35,23,34,34,19,,25,,,,,14,,17,,23,23,,,,,,,,18,,,,,,,,15,
2015-03-31,468,,37,33,23,33,34,19,,38,,,,,13,,17,13,24,24,,,,,,,,17,,,,,,,,16,
2015-04-01,463,17,33,37,28,39,34,21,,26,,,,,16,,16,19,26,26,,,,,,,,19,,,,,,,,,
2015-04-02,457,19,34,33,26,36,34,20,,23,,,,,16,,16,19,23,25,,,,,,,,19,,,,,,,,,
2015-04-03,455,20,43,33,26,34,27,21,,26,,,,,18,,,18,23,24,,,,,,,,20,18,,,,,,,,
2015-04-04,459,18,45,32,26,36,25,21,,26,,,,,17,,17,18,24,24,,,,,,,,20,,,,,,,,,
2015-04-05,438,20,50,31,21,37,20,21,,33,,,,,17,,,18,23,24,,,,,,,,18,17,,,,,,,,
2015-04-06,448,20,44,33,21,38,19,20,,26,,,,,17,,,18,24,23,,,,,,,,17,17,,,,,,,,
2015-04-07,457,22,45,32,24,36,22,22,,27,,,,,14,,,17,25,22,,,,,,,,16,,,,,,,,,14
2015-04-08,459,23,43,33,26,37,25,21,,26,,19,,,17,,,17,29,21,,,,,17,,,,,,,,,,,,
2015-04-09,443,21,41,35,25,37,23,23,,25,,20,,,16,,,18,27,21,,,,,,,,16,,,,,,,,,
2015-04-10,440,21,41,35,28,38,23,23,,24,,20,,,16,,,18,26,22,,,,,,,,16,,,,,,,,,
2015-04-11,454,19,44,37,26,35,22,26,,24,,20,,,16,,,18,29,22,,,,,,,,,,,,,,,,,16
2015-04-12,447,19,44,37,27,35,22,25,,24,,19,,,16,,,18,28,22,,,,,,,,,,,,,,,,,16
2015-04-13,443,18,46,35,27,35,23,26,,24,,18,,,16,,,18,29,22,,,,,,,,16,,,,,,,,,
