date,Prague,"District Brno-City","Hungary area",Munich
2015-05-28,7,11,,
2015-05-29,7,10,,
2015-05-30,7,10,,
2015-05-31,7,10,,
2015-06-01,7,10,,
2015-06-02,7,11,,
2015-06-03,7,11,,
2015-06-04,7,11,,
2015-06-05,7,9,,
2015-06-06,7,9,,
2015-06-07,7,9,,
2015-06-08,7,10,,
2015-06-09,7,10,,
2015-06-10,7,10,,
2015-06-11,7,9,,
2015-06-12,7,9,,
2015-06-13,5,9,,
2015-06-14,5,9,,
2015-06-15,5,9,,
2015-06-16,5,9,,
2015-06-17,6,11,,
2015-06-18,6,11,,
2015-06-19,6,10,,
2015-06-20,6,10,,
2015-06-21,5,10,,
2015-06-22,5,9,,
2015-06-23,5,9,,
2015-06-24,6,10,,
2015-06-25,7,10,,
2015-06-26,7,10,,
2015-06-27,12,10,,
2015-06-28,15,11,,
2015-06-29,15,11,,
2015-06-30,13,11,,
2015-07-01,12,13,,
2015-07-02,16,11,,
2015-07-03,16,13,,
2015-07-04,16,13,,
2015-07-05,16,13,,
2015-07-07,18,12,,
2015-07-08,20,11,,
2015-07-09,23,11,7,
2015-07-10,25,11,8,
2015-07-11,21,10,,
2015-07-12,21,10,,
2015-07-13,20,10,,
2015-07-14,22,10,6,
2015-07-15,22,9,7,
2015-07-16,27,10,9,
2015-07-17,28,10,10,5
2015-07-18,28,10,10,5
2015-07-19,28,10,10,5
