date,"PROFI-MEN, s.r.o., personálně poradenská a vzdělávací společnost","PRAGMA personální agentura s.r.o.","Personal Consult s.r.o.","Advantage Consulting, s.r.o.","JOB LEADER CZECH s.r.o.","SPINWARE s.r.o.","PARTNER 4 JOB s.r.o.","AGENTURA PLUS s.r.o.","Jobs Contact","PREDVYBER.CZ s. r. o.","People Consulting s.r.o.","European Active Projects Ltd. s.r.o.","See More"
2015-06-26,,,,25,17,,,,,,,,
2015-06-27,,50,34,44,20,19,,,6,,,5,5
2015-06-28,81,52,58,47,30,20,23,17,6,,5,5,5
2015-06-29,81,52,58,47,30,20,24,16,6,,5,5,5
2015-06-30,81,57,56,46,31,28,24,16,6,5,5,5,5
