date,Rome,Florence,Cagliari,Bolzano
2015-05-28,5,18,7,6
2015-05-29,5,18,7,6
2015-05-30,5,18,,
2015-05-31,6,18,7,6
2015-06-01,6,18,7,6
2015-06-02,6,18,7,6
2015-06-03,5,18,7,6
2015-06-04,5,18,7,6
2015-06-05,5,18,,
2015-06-06,5,18,7,6
2015-06-07,5,18,,
2015-06-08,5,18,,
2015-06-09,5,18,7,6
2015-06-10,5,18,7,6
2015-06-11,5,18,7,6
2015-06-12,5,18,7,6
2015-06-13,5,18,,
2015-06-14,5,17,7,6
2015-06-15,5,,,
