date,ARM,Sky,Hays,Google,Alcatel-Lucent,Dell,Sainsbury&#39;s,"Bloomberg LP",Microsoft,Facebook,"Morgan Stanley","Rackspace, the #1 managed cloud company","JPMorgan Chase &amp; Co.","Digital Gurus | Digital Recruitment - London, Sydney, Dubai","BAE Systems Applied Intelligence","See More",BBC,Cognizant,"Dell SecureWorks","Yoh, A Day &amp; Zimmermann Company","Admiral Group plc","Full Circle Recruitment Ltd",Sophos,"Goldman Sachs",Xcede,"ServiceNow – The Enterprise Cloud Company","TechNET IT Recruitment Ltd",IntaPeople,"IC Resources","Confidential Company - Undisclosed",Amazon,"NJF Global Holdings Ltd","Amazon UK",Framestore,"Huxley Banking &amp; Financial Services","Bank of America","Expedia, Inc.",Oracle,Turnitin,Thales,"Opus Recruitment Solutions","Softweb LLC",Symantec,"Experis IT","Go IT Recruitment Limited",CGI,"Pro-Quest Resourcing Ltd","microTECH global","Edgar Cowen","Pro Quest",Cisco,Citi,mployability,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,TipTopJob,"Job Heaven","Credit Suisse",MOO,Incite,"techfolk Ltd","Skyscape Cloud Services",Markit,Deloitte,"Opus Resourcing Ltd"
2015-03-11,30,23,10,31,,14,,14,,10,,,39,,,10,,,,,,,,,,,,,,,13,,16,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,12,12,,,15
2015-03-12,30,23,,33,,14,,14,,10,,,38,,,9,,,,,,,,,,,,,,,,,14,13,,9,,,,,,,,,,10,16,,,,,,,,,,,,,,,,10,10,,,15
2015-03-16,51,22,13,31,,15,,14,,9,,,46,,,9,,,,,,,,,,,,,,,18,,16,14,,15,,,,,,,,9,,10,,,,,,,,,,,,,,,,,15,,,,
2015-03-18,56,22,15,30,,15,,14,,,,,47,,,10,,,,,,,,,,,,,,,17,,16,13,,18,,,,10,,,,,,11,,,,,,,,,,,,,,,,,18,,,,12
2015-03-18,56,22,15,30,,14,,14,,,,,47,,,10,,,,,,,,,,,,,,,12,,16,12,,18,,,,10,,,,,,11,,,,,,,,,,,,,,,,,18,,,,12
2015-03-19,55,23,12,32,,14,,14,9,,,,48,,,9,,,,,,,,,,,,,,,16,,18,12,,18,,,,9,,,,,,11,,,,,,,,,,,,,,,,,15,,,,
2015-03-20,55,23,10,32,,14,,14,,9,,,48,,,9,,,,,,,,,,,,,,,16,,18,12,,18,,,,9,,,,,,11,,,,,,,,,,,,,,,,,15,,,,
2015-03-21,55,23,10,32,,14,,14,,,,,48,,,9,,,,,,,,,,,,,,,15,,17,12,,18,,,,9,,,,,,11,,,,,13,,,,,,,,,,,,15,,,,
2015-03-22,55,23,10,32,,14,,14,,,,,48,,,9,,,,,,,,,,,,,,,15,,17,12,,18,,,,9,,,,,,11,,,,,13,,,,,,,,,,,,15,,,,
2015-03-23,53,23,10,31,,15,,14,,,,,49,,,10,,,,,,,,,,,,,,,10,,17,12,,18,,,,,,,,,,11,,,,,12,,,,,,,,,,,,15,10,,,
2015-03-24,53,22,11,31,,15,,14,,,,,47,,,11,,,,,,,,,,,,,,,12,,17,13,,18,,,,,,,,,,11,,,,,13,,,,,,,,,,,,15,,,,16
2015-03-25,53,22,9,30,,14,,14,,,,,48,,,9,,,,,,,,,,,,,,,12,,16,13,,18,,,,,,,,,,10,,,,,,,,,,,,,,,,,15,10,,,16
2015-03-26,53,20,9,29,,16,,14,,,,,51,,,9,,,,,,,,,,,,,,,13,,16,13,,18,,,,,,,,,,10,,,,,9,,,,,,,,,,,,21,10,,,
2015-03-27,50,21,,29,,15,,13,,,,,48,,,7,,,,,,,,,,,,,,,,,16,13,,14,,,,8,,,,,,10,,,,,9,,,,,,,,,,,9,21,,,7,
