date,"Medidata Solutions",Hays,Google,Sky,ARM,Thales,"CME Group","Digital Gurus | Digital Recruitment - London, Sydney, Dubai","JPMorgan Chase &amp; Co.",Worldpay,Facebook,"News UK","See More","AllSaints Retail Ltd",BBC,"Computer Futures","Nigel Frank International","QA Apprenticeships","IC Resources","Language Recruitment Services Limited - LRSUK.com",Amazon,"Confidential Company - Undisclosed","Recruitment Genius","Amazon UK","Datascope Recruitment Ltd.","SSA Recruitment Group","American Express","Thomson Reuters",Oracle,"Goldman Sachs","Nationwide Building Society",OpenBet,"Randstad UK",Diamond4jobs.com,"Experis IT","Top Job","Do-it Trust","TechNET IT Recruitment Ltd","British Gas","Baltic Training Services","NHS Institute for Innovation and Improvement","AXA UK",Citi,"NJF Global Holdings Ltd",IBM,Dell,"Hyder Consulting","Bloomberg LP",FinancialForce.com,"Softweb LLC","Propel London",TalentSpa,"1st CENTRAL","techfolk Ltd","NCR Corporation",Microsoft,Cisco,Cognizant,MBDA,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,Monster,TipTopJob,"Job Heaven",Jobs.co.uk,Deloitte,"Page Personnel - UK","2M Employment Solutions Limited",upsell,Incite,"Go IT Recruitment Limited","Coal IT Services","Edgar Cowen","DCS Recruitment Limited","Language Recruitment Services Limited",Symantec,"QA Ltd"
2015-03-11,30,,9,12,10,,,,23,,,,6,,,,,35,,,17,,,18,,,,,,,,,,,8,,,,,,,,,,,,,,,,,9,,,,6,,10,,,,,,,,,,,,,,,,,,8,30,,7
2015-03-12,33,10,9,12,10,,,,24,,,,8,,,,,35,,,14,,,18,,,,,,,,,,,8,,,,,,,,,,,,,,,,,11,,,,,,10,,,,,,,,,,8,,,,,,,,8,29,,
2015-03-16,31,12,9,14,16,,,,27,,,,8,,,,,35,,,19,,,20,,,,,,,,,,,10,,,,,,,,,,,,,,,,,14,,,,,,9,,,,,,,,,,8,,,,,,,,8,30,,
2015-03-18,34,20,9,14,16,9,,,28,,,,9,,,,,35,,,20,,,20,,,,,,,,,,,12,,,,,,,,,,,,,,,,,15,,,,,,9,,9,,,,,,,,,,,,,,,,,30,,
2015-03-18,34,20,9,14,16,9,,,28,,,,9,,,,,35,,,18,,,20,,,,,,,,,,,12,,,,,,,,,,,,,,,,,15,,,,,,9,,9,,,,,,,,,,,,,,,,,30,,
2015-03-19,33,15,9,14,15,9,,,26,,,,9,,,,,35,,,20,,,19,,,,,,,,,,,,,,,,9,,,,,,,,,,,,16,,,,,,9,,11,,,,,,,,,,,,,,,,,29,,
2015-03-20,33,17,9,15,15,9,,,26,,,,9,,,,,35,,,19,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,9,,11,,,,,,,,,,,,9,,,,,29,,
2015-03-21,33,17,9,15,15,9,,,26,,,,9,,,,,35,,,19,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,9,,11,,,,,,,,,,,,9,,,,,29,,
2015-03-22,33,17,9,15,15,9,,,26,,,,9,,,,,35,,,19,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,9,,11,,,,,,,,,,,,9,,,,,29,,
2015-03-23,33,18,9,15,16,9,,,26,,,,9,,,,,35,,,17,,,23,,,,,,,,,,,,,,,,9,,,,,,,,,,,,16,,,,,,9,,,,,,,,,,,,,,9,,,,,29,,
