date,Unternehmensprozess,"Business Intelligence",Datenanonymisierungs,Semantik,Schema,"Daten Lizenzierung",Datenqualität,"Data Governance"
2015-05-28,0,65,0,0,11,0,3,4
2015-05-28,0,69,0,0,11,0,2,3
2015-05-29,0,69,0,0,11,0,2,3
2015-05-30,0,69,0,0,11,0,2,3
2015-05-31,0,70,0,0,12,0,2,3
2015-06-01,0,70,0,0,13,0,2,3
2015-06-02,0,71,0,0,13,0,2,3
2015-06-03,0,69,0,0,15,0,0,7
2015-06-04,0,83,0,0,19,0,0,10
2015-06-05,0,85,0,0,18,0,0,10
2015-06-06,0,82,0,0,18,0,0,9
2015-06-07,0,85,0,0,18,0,0,11
2015-06-08,0,85,0,0,18,0,2,12
2015-06-09,0,88,0,0,18,0,2,12
2015-06-10,0,89,0,0,19,0,3,13
2015-06-11,0,89,0,0,22,0,3,15
2015-06-12,0,92,0,0,22,0,2,14
2015-06-13,0,92,0,0,22,0,2,13
2015-06-14,0,90,0,0,22,0,2,13
2015-06-15,0,91,0,0,21,0,3,13
2015-06-16,0,93,0,0,19,0,2,13
2015-06-17,0,90,0,0,21,0,2,13
2015-06-18,0,87,0,0,21,0,2,10
2015-06-19,0,88,0,0,21,0,0,11
2015-06-20,0,87,0,0,21,0,0,12
2015-06-21,0,87,0,0,21,0,0,13
2015-06-22,0,91,0,0,22,0,0,13
2015-06-23,0,90,0,0,22,0,0,13
2015-06-24,0,90,0,0,22,0,0,14
2015-06-25,0,83,0,0,24,0,2,12
2015-06-26,0,82,0,0,24,0,2,14
2015-06-27,0,78,0,0,24,0,2,14
2015-06-28,0,74,0,0,24,0,2,13
2015-06-29,0,74,0,0,24,0,0,12
2015-06-30,0,67,0,0,24,0,0,10
2015-07-01,0,68,0,0,25,0,0,11
2015-07-02,0,74,0,0,13,0,0,13
2015-07-03,0,76,0,0,12,0,0,12
2015-07-04,0,74,0,0,12,0,0,13
2015-07-05,0,74,0,0,12,0,0,13
2015-07-07,0,78,0,0,13,0,2,13
2015-07-08,0,80,0,0,14,0,2,13
2015-07-09,0,80,0,0,13,0,2,14
2015-07-10,0,86,0,0,12,0,2,14
2015-07-11,0,85,0,0,11,0,2,14
2015-07-12,0,84,0,0,12,0,2,15
2015-07-13,0,86,0,0,11,0,3,15
2015-07-14,0,88,0,0,11,0,3,15
2015-07-15,0,87,0,0,12,0,4,14
2015-07-16,0,91,0,0,12,0,5,15
2015-07-17,0,94,0,0,12,0,8,15
2015-07-18,0,92,0,0,9,0,6,13
2015-07-19,0,91,0,0,9,0,6,12
2015-07-20,0,94,0,0,9,0,5,13
2015-07-21,0,91,0,0,9,0,5,14
2015-07-22,0,92,0,0,9,0,4,13
2015-07-23,0,90,0,0,9,0,4,13
2015-07-24,0,0,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0,0,0
2015-07-28,0,0,0,0,0,0,0,0
2015-07-29,0,0,0,0,0,0,0,0
