date,Unternehmensprozess,"Business Intelligence",Datenanonymisierungs,Semantik,Schema,"Daten Lizenzierung",Datenqualität,"Data Governance"
2015-05-28,0,60,0,0,25,0,0,8
2015-05-28,0,59,0,0,26,0,0,10
2015-05-29,0,61,0,0,26,0,0,12
2015-05-30,0,59,0,0,25,0,0,12
2015-05-31,0,59,0,0,25,0,0,12
2015-06-01,0,62,0,0,25,0,0,13
2015-06-02,0,62,0,0,23,0,0,13
2015-06-03,0,62,0,0,24,0,0,12
2015-06-04,0,62,0,0,26,0,0,13
2015-06-05,0,63,0,0,28,0,0,13
2015-06-06,0,62,0,0,26,0,0,13
2015-06-07,0,60,0,0,26,0,0,12
2015-06-08,0,63,0,0,28,0,0,14
2015-06-09,0,64,0,0,29,0,0,15
2015-06-10,0,64,0,0,28,0,0,16
2015-06-11,0,65,0,0,26,0,0,15
2015-06-12,0,64,0,0,25,0,0,14
2015-06-13,0,64,0,0,25,0,0,14
2015-06-14,0,63,0,0,25,0,0,13
2015-06-15,0,63,0,0,27,0,0,15
2015-06-16,0,63,0,0,28,0,0,14
2015-06-17,0,66,0,0,27,0,0,15
2015-06-18,0,65,0,0,26,0,0,13
2015-06-19,0,67,0,0,25,0,0,13
