date,"proceso de la empresa","inteligencia de negocios","anonimización de datos",semántica,esquema,"la concesión de licencias de datos","calidad de los datos","el gobierno de datos"
2015-05-28,0,3,0,0,10,0,4,0
2015-05-29,0,2,0,0,6,0,4,0
2015-05-30,0,3,0,0,7,0,4,0
2015-05-31,0,4,0,0,7,0,4,0
2015-06-01,0,2,0,0,6,0,4,0
2015-06-02,0,2,0,0,7,0,5,0
2015-06-03,0,3,0,0,8,0,4,0
2015-06-04,0,2,0,2,17,0,9,0
2015-06-05,0,2,0,2,16,0,9,0
2015-06-06,0,0,0,3,16,0,9,0
2015-06-07,0,0,0,3,15,0,9,0
2015-06-08,0,2,0,3,15,0,9,0
2015-06-09,0,2,0,2,15,0,9,0
2015-06-10,0,0,0,2,14,0,9,0
2015-06-11,0,0,0,2,13,0,10,0
2015-06-12,0,0,0,2,13,0,10,0
2015-06-13,0,2,0,3,14,0,9,0
2015-06-14,0,2,0,3,14,0,9,0
2015-06-15,0,0,0,0,14,0,9,0
2015-06-16,0,2,0,2,14,0,9,0
2015-06-17,0,2,0,3,14,0,8,0
2015-06-18,0,0,0,2,13,0,8,0
2015-06-19,0,0,0,2,12,0,10,0
2015-06-20,0,0,0,2,12,0,10,0
2015-06-21,0,2,0,4,11,0,10,0
2015-06-22,0,2,0,4,13,0,10,0
