date,"enterprise proces","business intelligence","data anonymisering",semantik,skema,"licenser data",datakvalitet,"data governance"
2015-05-28,0,41,0,0,0,0,0,2
2015-05-29,0,40,0,0,0,0,0,2
2015-05-30,0,39,0,0,0,0,0,2
2015-05-31,0,38,0,0,0,0,0,2
2015-06-01,0,41,0,0,0,0,0,2
2015-06-02,0,41,0,0,0,0,2,2
2015-06-03,0,42,0,0,0,0,2,3
2015-06-04,0,38,0,0,0,0,2,3
2015-06-05,0,38,0,0,0,0,2,3
2015-06-06,0,39,0,0,0,0,2,3
2015-06-07,0,39,0,0,0,0,2,3
2015-06-08,0,36,0,0,0,0,2,2
2015-06-09,0,35,0,0,0,0,2,2
2015-06-10,0,36,0,0,0,0,2,2
2015-06-11,0,39,0,0,0,0,2,2
2015-06-12,0,37,0,0,0,0,2,0
2015-06-13,0,37,0,0,0,0,2,0
2015-06-14,0,37,0,0,0,0,2,0
2015-06-15,0,37,0,0,0,0,2,0
2015-06-16,0,39,0,0,0,0,2,0
2015-06-17,0,40,0,0,0,0,0,0
2015-06-18,0,41,0,0,0,0,0,0
2015-06-19,0,41,0,0,0,0,0,0
2015-06-20,0,37,0,0,0,0,0,0
2015-06-21,0,36,0,0,0,0,0,0
2015-06-22,0,36,0,0,0,0,0,0
2015-06-23,0,36,0,0,0,0,0,0
2015-06-24,0,37,0,0,0,0,0,0
2015-06-25,0,39,0,0,0,0,0,0
2015-06-26,0,39,0,0,0,0,0,0
2015-06-27,0,41,0,0,0,0,0,0
2015-06-28,0,44,0,0,2,0,0,0
2015-06-29,0,40,0,0,2,0,0,4
2015-06-30,0,40,0,0,2,0,0,4
2015-07-01,0,41,0,0,2,0,0,4
2015-07-02,0,43,0,0,2,0,0,4
2015-07-03,0,40,0,0,2,0,0,4
2015-07-04,0,39,0,0,0,0,0,4
2015-07-05,0,39,0,0,0,0,0,4
2015-07-07,0,42,0,0,0,0,2,4
2015-07-08,0,44,0,0,2,0,2,5
2015-07-09,0,47,0,0,3,0,2,5
2015-07-10,0,51,0,0,4,0,2,5
2015-07-11,0,52,0,0,9,0,2,5
2015-07-12,0,51,0,0,9,0,2,5
2015-07-13,0,51,0,0,8,0,2,5
2015-07-14,0,54,0,0,8,0,2,5
2015-07-15,0,53,0,0,8,0,2,5
