date,"Proces przedsiębiorstw","business intelligence","anonimizacji danych",semantyka,schemat,"licencjonowania danych","jakość danych","Ład danych"
2015-05-28,0,42,0,0,3,0,0,0
2015-05-29,0,42,0,0,3,0,0,0
2015-05-30,0,42,0,0,3,0,0,0
2015-05-31,0,42,0,0,3,0,0,0
2015-06-01,0,46,0,0,3,0,0,0
2015-06-02,0,46,0,0,3,0,0,0
2015-06-03,0,50,0,0,3,0,0,0
2015-06-04,0,49,0,0,3,0,0,0
2015-06-05,0,46,0,0,3,0,0,0
2015-06-06,0,42,0,0,3,0,0,0
2015-06-07,0,42,0,0,3,0,0,0
2015-06-08,0,45,0,0,3,0,0,0
2015-06-09,0,52,0,0,3,0,0,0
2015-06-10,0,51,0,0,2,0,0,0
2015-06-11,0,53,0,0,0,0,0,0
2015-06-12,0,59,0,0,0,0,0,0
2015-06-13,0,57,0,0,0,0,0,0
