date,Unternehmensprozess,"Business Intelligence",Datenanonymisierungs,Semantik,Schema,"Daten Lizenzierung",Datenqualität,"Data Governance"
2015-05-27,13,1050,0,0,159,0,89,25
2015-05-27,13,1027,0,0,158,0,91,25
2015-05-28,13,1032,0,0,156,0,89,26
2015-05-28,13,1036,0,0,155,0,89,27
2015-05-29,11,1051,0,0,159,0,91,27
2015-05-30,11,1043,0,0,162,0,90,27
2015-05-31,12,1055,0,0,165,0,91,26
2015-06-01,11,1081,0,0,47,0,92,26
2015-06-02,10,1071,0,0,47,0,87,24
2015-06-03,12,1075,0,0,60,0,91,25
2015-06-04,12,1022,0,0,166,0,98,27
2015-06-05,7,984,0,0,160,0,97,26
2015-06-06,14,968,0,0,161,0,99,29
