date,"proces întreprindere","business intelligence","anonimizarea datelor",semantică,schemă,"de acordare a licențelor de date","calitatea datelor","guvernare date"
2015-05-28,0,31,0,0,5,0,0,0
2015-05-29,0,31,0,0,5,0,0,0
2015-05-30,0,31,0,0,5,0,0,0
2015-05-31,0,31,0,0,5,0,0,0
2015-06-01,0,29,0,0,7,0,0,0
2015-06-02,0,28,0,0,7,0,0,0
2015-06-03,0,27,0,0,7,0,0,0
2015-06-04,0,26,0,0,7,0,0,0
2015-06-05,0,26,0,0,8,0,0,0
2015-06-06,0,24,0,0,8,0,0,0
2015-06-07,0,23,0,0,8,0,0,0
2015-06-08,0,22,0,0,7,0,0,0
2015-06-09,0,23,0,0,7,0,0,0
2015-06-10,0,22,0,0,6,0,0,0
2015-06-11,0,24,0,0,5,0,0,0
2015-06-12,0,22,0,0,5,0,0,0
2015-06-13,0,22,0,0,5,0,0,0
2015-06-14,0,22,0,0,5,0,0,0
2015-06-15,0,21,0,0,4,0,0,0
2015-06-16,0,22,0,0,4,0,0,0
2015-06-17,0,21,0,0,7,0,0,0
2015-06-18,0,22,0,0,7,0,0,0
2015-06-19,0,22,0,0,8,0,0,0
2015-06-20,0,22,0,0,8,0,0,0
2015-06-21,0,22,0,0,8,0,0,0
2015-06-22,0,23,0,0,8,0,0,0
2015-06-23,0,24,0,0,8,0,0,0
2015-06-24,0,23,0,0,7,0,0,0
2015-06-25,0,23,0,0,7,0,0,0
2015-06-26,0,21,0,0,7,0,0,0
2015-06-27,0,21,0,0,6,0,0,0
2015-06-28,0,20,0,0,6,0,0,0
2015-06-29,0,19,0,0,5,0,0,0
2015-06-30,0,18,0,0,5,0,0,0
2015-07-01,0,17,0,0,3,0,0,0
2015-07-02,0,16,0,0,0,0,0,0
