date,"podnikových procesů","business intelligence","Údaje anonymizace",sémantika,schéma,"licenční údaje","kvalita dat","Data Governance"
2015-05-28,0,13,0,0,20,0,0,0
2015-05-29,0,13,0,0,20,0,0,0
2015-05-30,0,13,0,0,20,0,0,0
2015-05-31,0,13,0,0,20,0,0,0
2015-06-01,0,13,0,0,20,0,0,0
2015-06-02,0,13,0,0,20,0,0,0
2015-06-03,0,15,0,0,20,0,0,0
2015-06-04,0,15,0,0,18,0,0,0
2015-06-05,0,16,0,0,18,0,0,0
2015-06-06,0,16,0,0,18,0,0,0
2015-06-07,0,16,0,0,18,0,0,0
2015-06-08,0,18,0,0,18,0,0,0
2015-06-09,0,19,0,0,18,0,0,0
2015-06-10,0,17,0,0,18,0,0,0
2015-06-11,0,17,0,0,18,0,0,0
2015-06-12,0,18,0,0,18,0,0,0
2015-06-13,0,18,0,0,18,0,0,0
2015-06-14,0,18,0,0,18,0,0,0
2015-06-15,0,19,0,0,16,0,0,0
2015-06-16,0,21,0,0,19,0,0,0
2015-06-17,0,24,0,0,19,0,0,0
2015-06-18,0,24,0,0,15,0,0,0
2015-06-19,0,21,0,0,15,0,0,0
2015-06-20,0,20,0,0,12,0,0,0
2015-06-21,0,19,0,0,11,0,0,0
2015-06-22,0,20,0,0,10,0,0,0
2015-06-23,0,20,0,0,10,0,0,0
2015-06-24,0,18,0,0,11,0,0,0
2015-06-25,0,18,0,0,11,0,0,0
2015-06-26,5,32,0,0,12,0,0,0
