date,"enterprise prosess","business intelligence","data anonymisering",semantikk,skjema,"data lisensiering",datakvalitet,"data styresett"
2015-05-28,0,27,0,0,9,0,0,0
2015-05-29,0,25,0,0,9,0,0,0
2015-05-30,0,24,0,0,9,0,0,0
2015-05-31,0,24,0,0,9,0,0,0
2015-06-01,0,22,0,0,10,0,0,0
2015-06-02,0,21,0,0,10,0,0,0
2015-06-03,0,22,0,0,10,0,0,0
2015-06-04,0,22,0,0,12,0,0,0
2015-06-05,0,23,0,0,10,0,0,0
2015-06-06,0,23,0,0,10,0,0,0
2015-06-07,0,20,0,0,10,0,0,0
2015-06-08,0,19,0,0,11,0,0,0
2015-06-09,0,20,0,0,11,0,0,0
2015-06-10,0,19,0,0,9,0,0,0
2015-06-11,0,17,0,0,9,0,0,0
2015-06-12,0,16,0,0,9,0,0,0
2015-06-13,0,16,0,0,9,0,0,0
2015-06-14,0,16,0,0,9,0,0,0
2015-06-15,0,16,0,0,8,0,0,0
2015-06-16,0,15,0,0,8,0,0,0
2015-06-17,0,15,0,0,9,0,0,0
2015-06-18,0,13,0,0,9,0,0,0
2015-06-19,0,13,0,0,10,0,0,0
2015-06-20,0,13,0,0,10,0,0,0
