date,Unternehmensprozess,"Business Intelligence",Datenanonymisierungs,Semantik,Schema,"Daten Lizenzierung",Datenqualität,"Data Governance"
2015-05-28,0,17,0,0,5,0,3,0
2015-05-28,0,17,0,0,4,0,3,0
2015-05-29,0,17,0,0,5,0,3,0
2015-05-30,0,17,0,0,5,0,4,0
2015-05-31,0,20,0,0,5,0,4,0
2015-06-01,0,19,0,0,5,0,4,0
2015-06-02,0,21,0,0,5,0,4,0
2015-06-03,0,22,0,0,5,0,4,0
2015-06-04,0,19,0,0,6,0,3,0
2015-06-05,0,20,0,0,6,0,3,0
2015-06-06,0,19,0,0,6,0,3,0
2015-06-07,0,19,0,0,6,0,3,0
2015-06-08,0,19,0,0,6,0,3,0
2015-06-09,0,23,0,0,6,0,3,0
2015-06-10,0,25,0,0,6,0,3,0
2015-06-11,0,23,0,0,6,0,3,0
2015-06-12,0,23,0,0,6,0,3,0
2015-06-13,0,23,0,0,7,0,3,0
2015-06-14,0,23,0,0,7,0,3,0
2015-06-15,0,26,0,0,7,0,3,0
2015-06-16,0,28,0,0,7,0,3,0
2015-06-17,0,25,0,0,6,0,4,0
2015-06-18,0,24,0,0,7,0,4,0
2015-06-19,0,23,0,0,7,0,4,0
2015-06-20,0,23,0,0,7,0,4,0
2015-06-21,0,23,0,0,7,0,4,0
2015-06-22,0,22,0,0,7,0,4,0
2015-06-23,0,25,0,0,7,0,4,0
2015-06-24,0,26,0,0,7,0,4,0
2015-06-25,0,25,0,0,7,0,4,0
2015-06-26,0,23,0,0,7,0,4,0
2015-06-27,0,23,0,0,7,0,4,0
2015-06-28,0,23,0,0,7,0,4,0
2015-06-29,0,23,0,0,7,0,4,0
2015-06-30,0,23,0,0,7,0,4,0
2015-07-01,0,23,0,0,7,0,4,0
2015-07-02,0,23,0,0,2,0,4,0
2015-07-03,0,24,0,0,0,0,4,0
2015-07-04,0,23,0,0,0,0,4,0
2015-07-05,0,23,0,0,0,0,4,0
2015-07-07,0,27,0,0,0,0,3,0
2015-07-08,0,28,0,0,0,0,3,0
2015-07-09,0,24,0,0,0,0,3,0
2015-07-10,0,24,0,0,0,0,3,0
2015-07-11,0,23,0,0,0,0,3,0
2015-07-12,0,23,0,0,0,0,3,0
2015-07-13,0,24,0,0,0,0,3,0
2015-07-14,0,24,0,0,0,0,3,0
2015-07-15,0,21,0,0,0,0,3,0
2015-07-16,0,21,0,0,0,0,4,0
2015-07-17,0,22,0,0,0,0,4,0
2015-07-18,0,22,0,0,0,0,4,0
2015-07-19,0,22,0,0,0,0,4,0
2015-07-20,0,23,0,0,0,0,4,0
2015-07-21,0,22,0,0,0,0,4,0
2015-07-22,0,21,0,0,0,0,5,0
2015-07-23,0,23,0,0,0,0,5,0
