date,"processus de l&#39;entreprise","business intelligence","anonymisation de données",sémantique,schéma,"octroi de licences de données","la qualité des données","la gouvernance des données"
2015-05-27,0,203,0,23,154,0,60,8
2015-05-27,0,200,0,23,154,0,61,8
2015-05-28,0,207,0,25,159,0,64,9
2015-05-28,0,209,0,25,158,0,63,9
2015-05-29,0,212,0,25,160,0,63,6
2015-05-30,0,212,0,26,168,0,49,6
2015-05-31,0,205,0,26,167,0,48,6
2015-06-01,0,212,0,30,140,0,50,10
2015-06-02,0,222,0,31,168,0,51,10
2015-06-03,0,223,0,31,171,0,57,10
2015-06-04,0,243,0,35,180,0,61,10
2015-06-05,0,239,0,35,173,0,60,10
2015-06-06,0,230,0,34,137,0,60,10
2015-06-07,0,226,0,33,169,0,59,10
2015-06-08,0,222,0,36,173,0,60,11
2015-06-09,0,219,0,34,182,0,63,11
