date,Unternehmensprozess,"Business Intelligence",Datenanonymisierungs,Semantik,Schema,"Daten Lizenzierung",Datenqualität,"Data Governance"
2015-05-28,0,214,0,0,193,0,0,17
2015-05-28,0,219,0,0,192,0,0,17
2015-05-29,0,222,0,0,202,0,0,16
2015-05-30,0,220,0,0,201,0,0,15
2015-05-31,0,216,0,0,199,0,0,15
2015-06-01,0,226,0,0,192,0,0,17
2015-06-02,0,226,0,0,193,0,0,14
2015-06-03,0,232,0,0,184,0,0,16
2015-06-04,0,236,0,0,185,0,0,15
2015-06-05,0,234,0,0,184,0,0,15
2015-06-06,0,231,0,0,180,0,0,14
2015-06-07,0,230,0,0,177,0,0,14
2015-06-08,0,238,0,0,180,0,0,14
2015-06-09,0,239,0,0,181,0,0,13
2015-06-10,0,237,0,0,185,0,0,14
2015-06-11,0,241,0,0,183,0,0,14
2015-06-12,0,241,0,0,176,0,0,14
2015-06-13,0,237,0,0,174,0,0,13
2015-06-14,0,236,0,0,174,0,0,13
2015-06-15,0,242,0,0,177,0,0,13
2015-06-16,0,238,0,0,185,0,0,13
2015-06-17,0,233,0,0,185,0,0,13
2015-06-18,0,235,0,0,188,0,0,11
2015-06-19,0,240,0,0,202,0,0,11
2015-06-20,0,233,0,0,198,0,0,11
2015-06-21,0,228,0,0,195,0,0,11
2015-06-22,0,232,0,0,198,0,0,12
2015-06-23,0,243,0,0,200,0,0,13
2015-06-24,0,244,0,0,205,0,0,12
2015-06-25,0,248,0,0,207,0,0,12
2015-06-26,0,303,0,0,299,0,0,14
2015-06-27,0,511,0,0,542,0,0,23
2015-06-28,0,564,0,0,573,0,0,29
2015-06-29,0,596,0,0,658,0,0,29
2015-06-30,0,629,0,0,663,0,0,30
2015-07-01,0,656,0,0,697,0,0,30
2015-07-02,0,687,0,0,172,0,0,28
