date,Unternehmensprozess,"Business Intelligence",Datenanonymisierungs,Semantik,Schema,"Daten Lizenzierung",Datenqualität,"Data Governance"
2015-05-28,0,15,0,0,0,0,0,0
2015-05-28,0,17,0,0,0,0,0,0
2015-05-29,0,22,0,0,0,0,0,0
2015-05-30,0,35,0,0,0,0,0,0
2015-05-31,0,47,0,0,2,0,0,0
2015-06-01,0,48,0,0,2,0,0,0
2015-06-02,0,52,0,0,2,0,0,0
2015-06-03,0,51,0,0,2,0,0,0
2015-06-04,0,53,0,0,2,0,0,0
2015-06-05,0,53,0,0,2,0,0,0
2015-06-06,0,53,0,0,2,0,0,0
2015-06-07,0,50,0,0,2,0,0,0
2015-06-08,0,50,0,0,2,0,0,0
2015-06-09,0,51,0,0,2,0,0,0
2015-06-10,0,50,0,0,2,0,0,0
2015-06-11,0,51,0,0,3,0,0,0
2015-06-12,0,52,0,0,3,0,0,0
2015-06-13,0,53,0,0,3,0,0,0
2015-06-14,0,52,0,0,3,0,0,0
2015-06-15,0,52,0,0,3,0,0,0
2015-06-16,0,51,0,0,3,0,0,0
2015-06-17,0,54,0,0,4,0,0,0
2015-06-18,0,55,0,0,4,0,0,0
2015-06-19,0,54,0,0,4,0,0,2
2015-06-20,0,54,0,0,4,0,0,2
2015-06-21,0,55,0,0,4,0,0,2
2015-06-22,0,54,0,0,3,0,0,2
2015-06-23,0,55,0,0,7,0,0,2
2015-06-24,0,56,0,0,7,0,0,2
2015-06-25,0,56,0,0,7,0,0,2
2015-06-26,0,58,0,0,4,0,0,2
2015-06-27,0,54,0,0,4,0,0,2
2015-06-28,0,54,0,0,4,0,0,2
2015-06-29,0,56,0,0,4,0,0,2
2015-06-30,0,53,0,0,3,0,0,2
2015-07-01,0,50,0,0,3,0,0,2
2015-07-02,0,49,0,0,0,0,0,2
2015-07-03,0,48,0,0,0,0,0,2
2015-07-04,0,46,0,0,0,0,0,2
2015-07-05,0,47,0,0,0,0,0,2
2015-07-07,0,44,0,0,0,0,0,0
2015-07-08,0,43,0,0,2,0,0,0
2015-07-09,0,44,0,0,2,0,0,0
2015-07-10,0,44,0,0,2,0,0,0
2015-07-11,0,42,0,0,2,0,0,0
2015-07-12,0,42,0,0,2,0,0,0
2015-07-13,0,44,0,0,2,0,0,0
2015-07-14,0,45,0,0,2,0,0,0
2015-07-15,0,45,0,0,2,0,0,0
2015-07-16,0,42,0,0,2,0,0,0
2015-07-17,0,41,0,0,2,0,0,0
2015-07-18,0,42,0,0,2,0,0,0
2015-07-19,0,42,0,0,2,0,0,0
2015-07-20,0,41,0,0,2,0,0,2
2015-07-21,0,44,0,0,2,0,0,2
2015-07-22,0,50,0,0,2,0,0,2
