date,"District Brno-City",Prague
2015-05-28,9,7
2015-05-29,9,7
2015-05-30,9,7
2015-05-31,9,7
2015-06-01,9,7
2015-06-02,9,7
2015-06-03,9,7
2015-06-04,9,6
2015-06-05,9,6
2015-06-06,9,6
2015-06-07,9,6
2015-06-08,9,6
2015-06-09,9,6
2015-06-10,9,6
2015-06-11,8,6
2015-06-12,8,6
2015-06-13,8,6
2015-06-14,8,6
2015-06-15,7,6
2015-06-16,9,6
2015-06-17,10,6
2015-06-18,9,
2015-06-19,9,
2015-06-20,6,
2015-06-21,5,
2015-06-22,5,
2015-06-23,5,
2015-06-24,5,
2015-06-25,5,
2015-06-26,6,
2015-06-27,6,
2015-06-28,6,
