date,Basel,Zürich,Geneva,Bern,Ticino
2015-05-28,37,41,23,,
2015-05-28,36,42,24,,
2015-05-29,36,32,23,,
2015-05-30,36,33,23,,
2015-05-31,36,36,23,,
2015-06-01,41,38,24,,6
2015-06-02,42,38,24,,6
2015-06-03,42,44,25,,
2015-06-04,55,48,28,6,
2015-06-05,44,50,27,5,
2015-06-06,42,50,26,5,
2015-06-07,40,51,26,5,
2015-06-08,38,47,27,5,
2015-06-09,39,48,25,5,
2015-06-10,38,47,25,7,
2015-06-11,36,45,25,7,
2015-06-12,37,45,24,7,
2015-06-13,39,47,25,7,
2015-06-14,39,46,25,7,
2015-06-15,39,49,27,7,
2015-06-16,41,49,27,7,
2015-06-17,40,47,25,8,
2015-06-18,44,42,26,9,
2015-06-19,42,42,26,10,
