date,Madrid,Barcelona
2015-05-28,11,13
2015-05-29,10,13
2015-05-30,9,11
2015-05-31,12,12
2015-06-01,14,12
2015-06-02,14,
2015-06-03,23,10
2015-06-04,33,12
2015-06-05,35,12
2015-06-06,33,10
2015-06-07,31,9
2015-06-08,34,10
2015-06-09,33,10
2015-06-10,32,9
2015-06-11,30,8
2015-06-12,30,10
2015-06-13,30,11
2015-06-14,30,12
2015-06-15,29,11
2015-06-16,27,
2015-06-17,26,
2015-06-18,29,7
2015-06-19,26,
2015-06-20,26,
2015-06-21,26,
2015-06-22,28,8
2015-06-23,30,8
2015-06-24,29,8
2015-06-25,21,
2015-06-26,18,6
2015-06-27,17,
2015-06-28,19,6
2015-06-29,18,
2015-06-30,18,
2015-07-01,16,
2015-07-02,16,
2015-07-03,15,
2015-07-04,13,
2015-07-05,12,
2015-07-06,13,
2015-07-07,13,
2015-07-08,14,
2015-07-09,14,
2015-07-10,13,
2015-07-11,17,
2015-07-12,17,
2015-07-13,16,
2015-07-14,15,
2015-07-15,17,
2015-07-16,16,
2015-07-17,18,
2015-07-18,19,
2015-07-19,18,
