date,Madrid,Barcelona,Valencia,Bilbao,Zaragoza,Málaga,Almería,"A Coruña",Salamanca,Sevilla,Tarragona,"See More",Badajoz,Gijón,Burgos,Palma,Valladolid,"Ciudad Real",Murcia,Vigo,Vitoria-Gasteiz,Santander,Cáceres,Reus,Pamplona,Granada
2015-05-28,482,211,20,21,18,15,,19,,21,,6,,9,,10,,,19,12,,,,6,,8
2015-05-29,489,223,20,24,16,17,,21,,23,,6,,10,,10,,,18,12,,,,6,,8
2015-05-30,490,213,18,18,14,12,,18,,20,,6,,8,,9,,,20,12,,,,6,,6
2015-05-31,467,194,18,,16,,,17,,22,,5,,,,,7,,,13,,,,,5,
2015-06-01,467,189,16,,,,,15,,20,,6,,,,,6,,,11,,,,6,,
2015-06-02,476,192,16,17,13,,,15,,19,,6,,,,,6,,,11,,,,6,,
2015-06-03,504,209,16,19,15,12,,16,,18,,6,,8,,7,,,18,10,,,,8,,6
2015-06-04,569,249,28,23,22,15,,24,,20,,7,,13,,12,,,24,11,,,,9,,7
2015-06-05,538,234,28,19,25,,,19,,20,6,6,,,,,7,,,13,,,,,,
2015-06-06,572,242,34,35,30,17,,22,,22,,9,,16,,11,9,,24,15,,,,9,,
2015-06-07,564,237,35,35,32,18,,23,,23,,9,,18,,11,11,,26,16,,,,,,9
2015-06-08,563,240,31,23,27,16,,21,,20,,8,,15,,11,8,,23,14,,,,8,,
2015-06-09,578,243,33,21,29,15,,22,,19,,8,,19,,11,8,,24,14,,,,8,,
2015-06-10,569,236,36,30,28,,,20,,23,9,7,,,,,12,,,16,,,,,7,
2015-06-11,599,252,35,32,23,20,,21,10,22,,10,,22,,11,12,,24,14,,,,,,
2015-06-12,592,262,34,34,22,22,,20,,20,,9,,22,,11,11,,24,14,,,,9,,
2015-06-13,563,254,34,23,16,19,,17,,18,7,7,,,,,8,,,,,,,,,
2015-06-14,581,256,36,28,17,20,,18,,18,,8,,15,,11,,,24,12,8,,,9,,
2015-06-15,565,254,36,28,20,22,,17,,19,9,5,,,,12,,,,,,5,,,6,
2015-06-16,558,249,28,20,17,20,,17,,16,7,6,,,,11,6,,,,,,,,,
2015-06-17,546,248,30,19,16,17,,17,,,7,6,,,,8,6,,,,,,,,,
2015-06-18,565,250,30,23,17,18,,19,,16,7,7,,23,,8,,,20,12,,,,8,,
2015-06-19,565,247,37,28,21,19,,21,,21,,10,,28,,10,10,,20,15,10,,,,,
2015-06-20,558,250,35,31,22,17,,20,,20,,9,,26,,12,10,,21,15,,,,9,,
2015-06-21,561,251,36,32,21,19,,22,11,19,,10,,26,,12,,,24,15,,,,10,,
2015-06-22,557,250,35,26,21,19,,22,9,17,,9,,27,,11,,,23,15,,,,11,,
2015-06-23,562,253,34,33,21,18,,20,9,21,,9,,30,,10,12,,23,14,,,,,,
2015-06-24,558,244,37,31,19,,,18,,24,7,5,,,,12,12,,,,,,5,,,
2015-06-25,398,177,25,22,16,,,13,,17,7,7,,,,9,7,,,,,,,,,
2015-06-26,396,168,23,24,13,,,10,,12,7,5,,,5,10,9,,,,,,,,,
2015-06-27,394,165,25,25,13,11,,13,7,13,7,7,,21,,10,9,,12,,,,,,,
2015-06-28,378,172,24,34,14,,,,,13,7,7,,,,10,8,,,,,,,,,
2015-06-29,383,171,26,29,16,13,,,,11,8,8,,,,9,10,,,,,,,,,
2015-06-30,404,167,24,30,16,13,,11,,13,7,7,,18,,8,10,,12,,,7,,,,
2015-07-01,399,163,21,27,13,13,,13,8,14,,7,,15,,7,,,13,9,7,,,,,
2015-07-02,394,160,21,24,12,12,,15,,11,,5,,19,,7,,5,,,,,,,,
2015-07-03,397,164,22,27,12,13,,13,,11,,5,,19,,,,5,,,,,,,,
2015-07-04,383,166,20,28,13,13,,10,,14,,10,,16,,,,,,,,,,,,
2015-07-05,381,168,24,26,,13,,11,,14,,11,,15,,,,,,,,,,,,
2015-07-06,377,170,25,24,,15,,12,,13,5,5,,15,,,,,,,,,,,,
2015-07-07,401,165,24,25,,17,,14,,11,5,5,,13,,,,,,,,,,,,
2015-07-08,428,163,25,28,16,17,,14,,13,5,5,,14,,,,,,,,,,,,
2015-07-09,438,170,22,28,16,16,,15,,13,5,5,,10,,,,,,,,,,,,
2015-07-10,435,165,20,26,16,16,,13,,13,7,7,,11,,,,,,,,,,,,
2015-07-11,454,163,,27,17,16,,13,,12,7,5,,12,,5,5,,,,,,,,,
2015-07-12,444,160,,27,18,16,,13,,12,6,5,,12,,5,5,,,,,,,,,
2015-07-13,448,146,,25,18,17,8,13,,13,5,5,,13,7,,,,,,,,,,,
2015-07-14,454,147,,24,18,17,9,15,,12,6,6,,13,,,,,,,,,,,,
2015-07-15,455,151,,22,17,17,9,13,,12,6,6,,,,,,,,,,,,,,
2015-07-16,468,152,20,20,16,17,7,12,,11,5,5,5,,,,,,,,,,,,,
2015-07-17,462,150,21,20,16,17,7,12,,11,5,5,5,,,,,,,,,,,,,
2015-07-18,451,144,20,24,17,19,7,10,,10,6,6,,,,,,,,,,,,,,
2015-07-19,448,144,20,24,17,19,7,10,,10,6,6,,,,,,,,,,,,,,
2015-07-20,440,144,23,23,18,17,9,13,12,12,5,5,,,,,,,,,,,,,,
2015-07-21,452,150,24,23,19,17,14,13,12,12,5,5,,,,,,,,,,,,,,
