date,Lisbon,Porto,Leiria,Aveiro,Braga
2015-05-28,25,,,,
2015-05-29,31,5,,,
2015-05-30,29,5,,,
2015-05-31,28,,,,
2015-06-01,24,,,,
2015-06-02,307,31,5,6,
2015-06-03,323,31,5,6,
2015-06-04,352,33,5,6,
2015-06-05,687,42,5,5,
2015-06-06,643,41,5,5,
2015-06-07,648,41,5,5,
2015-06-08,649,41,5,5,
2015-06-09,563,36,,5,
2015-06-10,496,29,,,
2015-06-11,479,29,,,
2015-06-12,629,42,6,7,
2015-06-13,616,45,6,8,
2015-06-14,622,47,6,8,
2015-06-15,610,43,5,6,
2015-06-16,589,42,5,6,
2015-06-17,667,45,6,9,
2015-06-18,674,46,6,8,5
2015-06-19,650,46,6,8,5
2015-06-20,641,51,5,9,6
2015-06-21,643,50,5,8,6
2015-06-22,626,39,5,8,6
2015-06-23,633,41,5,8,5
2015-06-24,659,48,6,8,5
2015-06-25,656,48,6,5,5
2015-06-26,646,45,7,6,6
2015-06-27,687,51,7,7,6
2015-06-28,691,55,14,6,5
2015-06-29,684,54,14,7,5
2015-06-30,677,52,14,8,5
2015-07-01,688,52,14,6,5
2015-07-02,722,61,,,
2015-07-03,721,58,,,
2015-07-04,723,,,,
2015-07-05,704,,,,
2015-07-07,715,,,,
2015-07-08,729,,,,
2015-07-09,712,,,,
2015-07-10,713,,,,
2015-07-11,719,,,,
2015-07-12,717,,,,
2015-07-13,720,,,,
2015-07-14,715,66,,,
2015-07-15,724,66,,,
2015-07-16,733,65,,,
