date,Deloitte,"Azienda Unita&#39; Sanitaria Locale Umbria 1","Comune di Padova","Azienda Ospedaliera San Paolo","Ca&#39; Foscari University of Venice","BNP Paribas","CAMERA DI COMMERCIO INDUSTRIA AGRICOLTURA E ARTIGIANATO DI BARI","Statistica Inc",IBM,"BeneVento Capital","Johnson &amp; Johnson","University of Turin","Istituzione dei Distretti Industriali della Provincia di Arezzo","SILICOM SAS",SAS,"See More",Booking.com,"Concordia BV","Fornovo Gas","Italiana Assicurazioni - Agenzia di Alba e Mondovì","Energy For Life","Randstad Italia",HiSkill
2015-05-28,19,24,14,12,10,,10,10,9,9,,,,43,,9,9,,12,13,,10,36
2015-05-29,19,25,14,11,10,9,10,10,9,,,,,43,,9,9,,12,13,,11,36
2015-05-30,19,23,14,12,9,9,10,10,9,9,,,,43,,9,9,,12,13,,12,
2015-05-31,19,24,14,11,,9,10,9,9,10,,,,43,,9,9,,11,13,12,12,
2015-06-01,19,23,14,11,,9,10,9,9,9,,,,43,,9,9,,12,12,12,11,
2015-06-02,19,23,14,11,,9,10,9,9,9,,,,43,,9,9,,12,12,12,11,
2015-06-03,19,23,14,11,,9,10,9,9,9,,,,43,,9,9,,12,11,12,11,
2015-06-04,,23,14,12,10,9,10,10,9,9,8,,,43,,8,10,,12,11,12,,
2015-06-05,19,23,14,11,10,9,10,10,8,9,,,,43,,8,10,,12,11,12,,
2015-06-06,19,23,14,11,9,9,10,10,8,9,,,,43,,8,10,,12,11,12,,
2015-06-07,19,23,14,11,9,9,10,10,8,9,,,,43,,8,10,,12,11,12,,
2015-06-08,22,22,14,11,9,9,10,10,8,9,,8,,43,,8,10,,12,11,,,
2015-06-09,22,23,14,12,9,9,10,10,8,9,,8,,43,,8,9,,12,11,,,
2015-06-10,22,22,14,12,9,10,10,10,8,9,,8,,43,,8,8,,12,11,,,
2015-06-11,16,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,13,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,13,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,13,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,13,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,13,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,19,24,14,12,9,8,10,10,,9,,,8,43,7,7,8,10,12,,,,
2015-06-18,19,22,14,11,10,8,10,10,,9,,8,8,50,,8,8,10,12,,,,
2015-06-19,19,25,14,11,10,8,10,10,,9,,8,8,50,7,7,7,10,,,,,
2015-06-20,19,25,14,11,10,8,10,10,,9,,8,8,50,7,7,7,10,,,,,
2015-06-21,13,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,12,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,12,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,18,23,14,12,9,9,10,10,8,9,,8,7,46,6,6,,10,,,,,
2015-06-25,12,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,12,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,18,21,14,12,10,10,10,10,7,9,8,8,8,7,,6,6,,,,,,
2015-06-28,18,21,14,11,10,10,10,10,7,9,8,8,7,7,,6,6,,,,,,
2015-06-29,19,21,14,11,10,10,10,10,7,9,8,8,7,7,,6,6,,,,,,
2015-06-30,13,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,19,21,14,12,11,10,10,10,9,9,8,8,7,7,6,6,,,,,,,
2015-07-02,13,,,,,,,,,,,,,,,,,,,,,,
