date,"Centro di Eccellenza per il Calcolo ad Alte Prestazioni - Università della Calabria","Valutazione Derivati","CNR - Istituto per le Applicazioni del Calcolo &quot;M. Picone&quot;","Randstad Italia","ItAli Airlines S.p.A."
2015-05-28,13,6,,9,5
2015-05-29,12,5,5,9,5
2015-05-30,11,5,5,9,5
2015-05-31,11,,5,9,5
2015-06-01,11,5,5,8,
2015-06-02,11,5,5,8,
2015-06-03,11,5,5,9,
2015-06-04,13,6,5,6,
2015-06-05,12,6,,6,
2015-06-06,13,6,5,6,
2015-06-07,13,6,5,6,
2015-06-08,11,6,5,,
2015-06-09,12,5,5,,
2015-06-10,12,6,5,,
2015-06-11,12,6,5,,
2015-06-12,11,5,5,,
2015-06-14,11,5,5,,
2015-06-15,11,5,5,,
2015-06-16,12,6,,,
