date,UBS,Deloitte,IBM,Accenture,"Arca24.com SA","KOLLAS Paris","Johnson &amp; Johnson",Atos,"See More","IWC Schaffhausen",EY,"Credit Suisse"
2015-05-28,,5,6,,,,,,,,5,
2015-05-28,,5,6,,,,,,,,5,
2015-05-29,,5,7,,,,,,,,5,
2015-05-30,,5,7,,,,,,,,5,
2015-05-31,,5,7,,,,,,,,5,
2015-06-01,,5,7,,,,,,,,5,
2015-06-02,,5,7,,,,,,,,5,
2015-06-03,5,6,7,,,,,,,,5,6
2015-06-04,5,6,7,5,,5,,5,5,,5,
2015-06-05,5,6,7,5,,5,,5,5,,5,
2015-06-06,5,6,7,5,,6,,5,5,,5,
2015-06-07,5,6,7,,,6,,5,5,,5,
2015-06-08,5,6,7,,,6,,5,,,,
2015-06-09,6,6,7,,,6,,5,,,,
2015-06-10,6,6,7,,,7,,5,5,,5,
2015-06-11,6,6,7,,,7,,5,5,,5,
2015-06-12,6,6,7,,,7,,5,5,,5,
2015-06-13,6,6,7,,,8,,5,5,,5,
2015-06-14,6,6,7,,,8,,5,5,,5,
2015-06-15,6,6,7,,,8,,5,5,,6,
2015-06-16,6,6,7,5,,8,,5,5,,6,
2015-06-17,6,6,7,5,,8,,,5,,6,
2015-06-18,,6,7,5,,10,,5,5,,6,
2015-06-19,,6,7,5,,10,,5,5,,6,
2015-06-20,,6,7,,,10,,5,,,6,
2015-06-21,,6,7,,,10,,5,,,6,
2015-06-22,,6,7,,,10,,5,,,6,
2015-06-23,,6,7,,,10,5,5,5,,6,
2015-06-24,,6,7,,,10,5,5,5,5,6,
2015-06-25,5,6,7,5,11,12,5,5,5,5,6,
2015-06-26,5,6,7,5,12,12,5,5,5,5,5,
2015-06-27,5,6,7,5,12,12,5,5,5,5,5,
2015-06-28,5,6,7,5,14,12,5,5,5,5,5,
2015-06-29,5,6,8,5,15,12,5,5,5,5,,
2015-06-30,5,,8,5,15,12,5,5,5,,,
2015-07-01,,5,8,5,15,12,5,5,5,,,
2015-07-02,,5,9,5,,,,,,,,
2015-07-03,,5,9,,,,,,,,,
2015-07-04,,5,9,,,,,,,,,
2015-07-05,,5,9,,,,,,,,,
2015-07-07,5,5,9,,,,,,,,,
2015-07-08,5,5,9,,,,,,,,,
2015-07-09,5,5,9,,,,,,,,,
2015-07-10,6,6,9,,,,,,,,,
2015-07-11,6,6,9,,,,,,,,,
2015-07-12,6,6,9,,,,,,,,,
2015-07-13,6,6,,,,,,,,,,
2015-07-14,6,6,,,,,,,,,,
2015-07-15,10,6,,,,,,,,,,
