date,"data visualisation",infographics,interaction,"data mapping","data stories","data journalism",d3js,tableau
2015-03-11,93,73,3302,54,2,2,0,193
2015-03-12,105,65,2451,52,2,2,0,220
2015-03-16,119,57,2516,54,2,2,0,224
2015-03-18,124,64,2909,59,2,0,0,227
2015-03-18,123,69,2924,64,2,2,0,229
2015-03-19,122,72,2914,65,2,2,0,222
2015-03-20,124,73,2942,68,2,2,0,230
2015-03-21,123,70,2932,68,2,2,0,227
2015-03-22,120,70,2913,68,2,2,0,226
2015-03-23,117,68,2910,68,2,2,0,225
2015-03-24,114,68,2520,67,2,2,0,215
2015-03-25,112,69,2536,65,2,2,0,216
2015-03-26,114,72,2544,55,0,2,0,209
2015-03-27,113,67,2491,53,0,3,0,217
2015-03-28,111,64,2503,53,0,3,0,213
2015-03-29,104,69,2490,53,0,3,0,210
2015-03-30,107,68,2505,53,0,3,0,210
2015-03-31,114,64,2657,53,0,0,0,213
2015-04-01,109,66,2479,52,0,0,0,206
2015-04-02,108,69,2508,55,0,0,0,196
2015-04-03,109,66,2503,50,0,0,0,195
2015-04-04,111,67,2542,50,0,0,0,191
2015-04-05,104,64,2585,49,0,0,0,186
2015-04-06,102,65,2496,51,0,0,0,186
2015-04-07,102,65,2639,51,0,0,0,196
2015-04-08,110,69,2773,52,0,0,0,202
2015-04-09,109,67,2696,51,0,0,0,190
2015-04-10,106,68,2712,51,0,0,0,200
2015-04-11,108,70,2749,48,0,0,0,205
2015-04-12,107,70,2733,48,0,0,0,202
2015-04-13,112,74,2735,48,0,0,0,198
2015-04-14,120,78,2764,50,0,3,0,208
2015-04-15,120,78,2776,51,0,3,0,210
2015-04-16,122,76,2806,54,0,3,0,214
2015-04-17,130,77,2908,62,0,3,0,220
2015-04-18,178,116,3837,89,0,5,0,277
2015-04-19,204,148,4500,108,0,5,0,340
2015-04-20,205,145,4507,106,0,5,0,350
2015-04-21,124,77,2711,57,0,3,0,218
2015-04-22,126,73,2692,55,0,3,0,213
2015-04-23,119,71,2723,54,0,3,0,211
2015-04-24,120,70,2719,56,0,3,0,211
2015-04-25,119,72,2732,54,0,3,0,210
2015-04-26,118,69,2699,53,0,2,0,209
2015-04-27,121,71,2669,54,0,2,0,213
2015-04-28,123,79,2694,53,2,0,0,214
2015-04-29,126,76,2721,52,2,0,0,216
2015-04-30,129,81,2757,52,2,0,0,216
2015-05-01,126,82,2760,46,2,0,0,212
2015-05-02,129,78,2738,49,2,0,0,210
2015-05-03,124,68,2628,47,2,0,0,206
2015-05-04,129,68,2631,54,2,0,0,213
2015-05-05,130,70,2652,52,2,0,0,218
2015-05-06,136,67,2666,52,2,0,0,220
2015-05-07,137,63,2719,55,2,0,0,220
2015-05-08,135,62,2710,54,2,0,0,222
2015-05-09,138,62,2758,55,0,0,0,224
2015-05-10,136,63,2820,56,0,0,0,218
2015-05-11,141,65,2890,56,0,2,0,217
2015-05-12,146,72,2930,66,0,2,0,222
2015-05-13,144,72,2865,69,2,2,0,225
2015-05-14,139,66,2855,69,2,2,0,222
2015-05-15,138,69,2965,66,2,2,0,234
