date,"visualisation de données",infographies,interaction,"la cartographie des données","histoires de données","le journalisme de données",d3js,tableau
2015-05-27,8,6,253,3,0,0,0,216
2015-05-27,9,6,256,3,0,0,0,215
2015-05-28,8,6,255,3,0,0,0,214
2015-05-28,8,6,259,3,0,0,0,213
2015-05-29,8,7,264,3,0,0,0,221
2015-05-30,8,4,244,0,0,0,0,216
2015-05-31,8,4,247,0,0,0,0,220
2015-06-01,10,3,223,0,0,0,0,203
2015-06-02,11,3,245,0,0,0,0,209
2015-06-03,10,4,267,0,0,0,0,211
2015-06-04,10,6,281,0,0,0,0,221
2015-06-05,9,5,267,0,0,0,0,210
2015-06-06,9,4,239,0,0,0,0,204
2015-06-07,9,4,269,0,0,0,0,210
2015-06-08,7,5,262,0,0,0,0,205
2015-06-09,7,6,272,0,0,0,0,196
2015-06-10,7,6,261,2,0,0,0,204
2015-06-11,7,6,266,2,0,0,0,200
2015-06-12,8,4,275,2,0,0,0,207
2015-06-13,8,3,277,2,0,0,0,206
2015-06-14,8,3,273,2,0,0,0,207
2015-06-15,10,3,259,2,0,0,0,216
2015-06-16,10,3,274,2,0,0,0,219
2015-06-17,10,5,289,2,0,0,0,228
2015-06-18,10,10,303,2,0,0,0,227
2015-06-19,10,8,270,2,0,0,0,239
2015-06-20,10,7,268,2,0,0,0,239
2015-06-21,10,7,261,4,0,0,0,233
2015-06-22,8,7,252,4,0,0,0,241
2015-06-23,9,6,295,3,0,0,0,251
2015-06-24,8,6,301,2,0,0,2,247
2015-06-25,10,6,268,3,0,0,3,237
2015-06-26,9,5,296,3,0,0,3,246
2015-06-27,8,5,288,2,0,0,2,247
2015-06-28,8,10,288,2,0,0,2,242
2015-06-29,10,7,298,2,0,0,2,239
2015-06-30,10,6,304,2,0,0,2,298
2015-07-01,11,10,303,2,0,0,3,248
2015-07-02,10,9,273,2,0,0,2,262
2015-07-03,12,11,279,3,0,0,2,285
2015-07-04,13,11,271,4,0,0,3,282
2015-07-05,12,11,270,4,0,0,3,276
2015-07-06,12,11,273,5,0,0,3,274
2015-07-07,13,11,277,4,0,0,3,292
2015-07-08,15,14,308,5,0,0,0,314
2015-07-09,15,12,279,4,0,0,2,295
2015-07-10,15,12,283,4,0,0,2,308
2015-07-11,16,13,306,5,0,0,2,333
2015-07-12,16,12,304,5,0,0,2,337
2015-07-13,15,12,304,5,0,0,2,333
2015-07-14,16,12,303,5,0,0,2,333
2015-07-15,16,13,298,5,0,0,2,323
2015-07-16,17,13,298,5,0,0,2,327
2015-07-17,18,16,302,5,0,0,2,332
2015-07-18,18,16,306,5,0,0,2,333
2015-07-19,17,17,308,5,0,0,0,329
2015-07-20,17,19,314,5,0,0,0,322
2015-07-21,18,18,317,5,0,0,0,324
2015-07-22,19,20,307,5,0,0,2,317
2015-07-23,18,20,311,5,0,0,2,316
2015-07-24,0,0,0,0,0,0,0,0
