date,Paris,Lyon,Lille,Nantes,Marseille,Rennes,Bordeaux,Toulouse,Chambéry,Montpellier,Orléans,Metz,Mulhouse,"See More","Le Havre",Tours,Reims,Nice,Strasbourg,Grenoble,Saint-Étienne,Rouen,Rhone-Alpes,Bourges,Dijon,Pau,Limoges,"La Rochelle",Clermont-Ferrand
2015-05-27,283,43,22,18,14,15,22,16,,,,,,10,,,,10,11,,,15,,,,,10,10,11
2015-05-27,284,43,22,18,14,15,22,16,,,,,,9,,,,10,11,,,15,,,,,9,11,11
2015-05-28,280,41,23,18,13,16,20,12,,,,,,9,,,,9,11,,,18,,,,,9,10,11
2015-05-28,284,41,23,18,13,16,20,12,,,,,,8,,,,,11,,,18,,8,,,9,10,11
2015-05-29,307,48,22,19,16,17,21,12,,,,,,9,,,,11,13,,,17,,,9,,,10,11
2015-05-30,291,47,22,20,17,15,25,13,,,,,,11,,,,11,20,,,13,,,11,,,11,11
2015-05-31,293,51,25,23,17,14,24,14,,,,,,11,,,,11,19,,,16,,,12,,,11,11
2015-06-01,286,34,24,19,15,15,23,14,,,,8,12,8,,,,,12,,,16,,,9,,,,9
2015-06-02,290,34,26,19,15,15,25,17,,,,9,12,9,,,,,12,,,15,,,10,,,,9
2015-06-03,306,33,25,,15,16,25,19,,6,7,,13,6,,,,12,15,,,,,7,,7,,,
2015-06-04,324,33,24,20,15,15,28,22,,,,,13,10,,,,15,15,,,15,,,12,,,10,
2015-06-05,280,27,24,15,12,15,26,18,,,,,11,10,,,,11,11,10,,13,,,10,,,,
2015-06-06,282,24,24,15,12,14,25,20,,,,,13,9,,,,11,14,10,,11,,,9,,,,
2015-06-07,286,26,25,14,12,14,25,18,,,,,12,9,,,,10,15,10,,12,,,9,,,,
2015-06-08,280,26,25,14,12,11,22,19,,,,,11,9,,,,10,15,,9,13,,,9,,,,
2015-06-09,278,31,25,17,11,13,23,18,,,,,14,8,,,,10,15,8,,13,,,10,,,,
2015-06-10,281,32,25,18,13,13,23,19,,5,7,,14,5,,,,8,15,,,,,,,,,,
2015-06-11,278,32,25,18,14,16,23,15,,,,,14,8,,,,10,16,8,,13,,,,,8,,
2015-06-12,289,33,27,18,,17,23,14,,,9,,14,9,,,,11,16,,,,,,,,,,
2015-06-13,291,36,27,17,12,16,21,18,,,,,10,9,,,,12,16,9,11,12,,,,,,,
2015-06-14,279,32,27,17,13,16,20,17,,,,,10,9,,,,13,13,,10,13,,9,,,,,
2015-06-15,281,32,27,19,13,15,21,17,,,,,10,10,,,,13,14,,11,14,,,10,,,,
2015-06-16,289,32,26,17,15,14,21,19,,,,,11,11,,,,13,17,,11,13,,,11,,,,
2015-06-17,294,35,25,19,,15,,18,,,9,,9,6,,,,13,,8,,,,6,,7,,,
2015-06-18,299,36,24,20,15,18,21,24,,,,,9,9,,,,13,18,,11,13,,,11,,,,
2015-06-19,303,37,25,23,15,17,21,26,,,,,14,11,,,,14,17,,11,15,,,13,,,,
2015-06-20,297,38,22,21,15,17,21,26,,,,,13,12,,,,13,17,,12,15,,,12,,,,
2015-06-21,292,38,22,21,15,16,20,25,,,,,10,10,,,,13,16,,14,13,,,11,,,,
2015-06-22,300,40,22,20,16,11,,20,,,8,6,10,5,,,,13,,,,,5,7,,,,,
2015-06-23,297,39,22,20,16,12,,19,,,11,7,14,5,,,,13,,,,,5,8,,,,,
2015-06-24,304,36,20,19,16,11,,18,,,9,8,13,5,,,,13,,,,,5,6,,,,,
2015-06-25,302,36,21,19,18,11,20,26,9,,9,,13,9,,,,13,16,,12,,,,,,,,
2015-06-26,302,37,19,19,18,11,22,28,,,,,12,8,8,,,13,16,,15,9,,,,,,,
2015-06-27,293,38,17,18,19,11,20,28,8,,,,13,8,,,,12,17,,15,9,,,,,,,
2015-06-28,295,39,19,18,17,9,20,30,,,,,11,5,,,,12,,,,,5,,,,,,
2015-06-29,299,38,22,17,17,10,21,31,,,,,12,9,,,,12,15,9,13,10,,,,,,,
2015-06-30,315,37,22,19,20,13,21,33,,,,,14,11,,,,12,17,11,14,11,,,,,,,
