date,pitone,"informatica avanzata",programmazione,"sistemi computazionali",codifica,"Cloud computing"
2015-05-28,0,0,1016,0,22,57
2015-05-29,0,0,1001,0,22,57
2015-05-30,0,0,998,0,23,53
2015-05-31,0,0,1014,0,21,54
2015-06-01,0,0,985,0,19,54
2015-06-02,0,0,995,0,19,55
2015-06-03,0,0,978,0,18,54
2015-06-04,0,0,976,0,18,58
2015-06-05,0,0,971,0,17,57
2015-06-06,0,0,969,0,15,55
2015-06-07,0,0,968,0,15,54
2015-06-08,0,2,950,0,14,56
2015-06-09,0,2,987,0,15,56
2015-06-10,0,2,967,0,13,56
2015-06-11,0,2,958,0,13,56
2015-06-12,0,0,968,0,16,56
2015-06-13,0,0,973,0,16,55
2015-06-14,0,0,941,0,15,52
