date,Python,"Advanced Computing",Programmierung,Rechensysteme,Verschlüsselung,"Cloud Computing"
2015-05-27,567,0,2307,0,19,352
2015-05-27,552,0,2239,0,19,352
2015-05-28,555,0,2185,0,19,351
2015-05-28,554,0,2178,0,19,351
2015-05-29,575,0,2409,0,19,347
2015-05-30,578,0,2420,0,31,339
2015-05-31,580,0,2470,0,31,336
2015-06-01,578,0,2450,0,31,335
2015-06-02,588,0,2372,0,28,323
2015-06-03,609,0,2781,0,18,340
2015-06-04,636,2,2873,0,17,336
2015-06-05,648,2,2772,0,15,331
2015-06-06,655,2,2860,0,15,335
2015-06-07,642,2,2754,0,16,328
2015-06-08,622,3,2747,0,17,330
2015-06-09,651,3,2798,0,17,343
2015-06-10,609,2,2656,0,19,341
2015-06-11,660,2,2997,0,20,352
2015-06-12,657,2,2917,0,17,362
2015-06-13,661,2,2655,0,18,362
2015-06-14,648,2,2598,0,17,361
