date,python,"avansert databehandling",programmering,beregningssystemer,koding,"Cloud computing"
2015-05-28,13,0,9,0,0,6
2015-05-29,13,0,7,0,0,5
2015-05-30,12,0,7,0,0,5
2015-05-31,12,0,7,0,0,5
2015-06-01,13,0,6,0,0,5
2015-06-02,13,0,6,0,0,5
2015-06-03,13,0,9,0,0,6
2015-06-04,13,0,9,0,0,7
2015-06-05,11,0,8,0,0,6
2015-06-06,12,0,7,0,0,6
2015-06-07,11,0,7,0,0,6
2015-06-08,11,0,7,0,0,6
2015-06-09,11,0,7,0,0,5
2015-06-10,10,0,6,0,0,5
2015-06-11,10,0,6,0,0,5
2015-06-12,12,0,7,0,0,5
2015-06-13,12,0,7,0,0,5
2015-06-14,12,0,6,0,0,6
2015-06-15,10,0,6,0,0,6
2015-06-16,8,0,7,0,0,6
2015-06-17,8,0,8,0,0,6
2015-06-18,6,0,6,0,0,6
2015-06-19,5,0,5,0,0,6
2015-06-20,5,0,5,0,0,6
2015-06-21,4,0,5,0,0,5
2015-06-22,5,0,6,0,0,5
2015-06-23,6,0,6,0,0,5
2015-06-24,6,0,6,0,0,5
2015-06-25,6,0,6,0,0,5
2015-06-26,6,0,6,0,0,9
2015-06-27,7,0,6,0,0,12
2015-06-28,7,0,6,0,0,13
2015-06-29,6,0,5,0,0,15
2015-06-30,6,0,5,0,0,15
2015-07-01,5,0,5,0,0,14
