date,python,"avancerede computing",programmering,"beregningsmæssige systemer",kodning,"Cloud computing"
2015-05-28,21,0,31,0,9,6
2015-05-29,20,0,32,0,8,7
2015-05-30,20,0,31,0,8,7
2015-05-31,15,0,27,0,8,7
2015-06-01,16,0,25,0,8,7
2015-06-02,15,0,24,0,8,7
2015-06-03,15,0,26,0,8,8
2015-06-04,13,0,26,0,8,8
2015-06-05,14,0,27,0,8,7
2015-06-06,14,0,29,0,8,7
2015-06-07,14,0,28,0,8,7
2015-06-08,13,0,29,0,8,7
2015-06-09,13,0,30,0,8,6
2015-06-10,13,0,29,0,8,5
2015-06-11,12,0,26,0,7,5
2015-06-12,14,0,28,0,7,5
2015-06-13,14,0,28,0,7,5
2015-06-14,14,0,28,0,7,6
2015-06-15,15,0,0,0,8,6
2015-06-16,15,0,31,0,8,6
2015-06-17,14,0,29,0,8,7
2015-06-18,12,0,31,0,8,7
2015-06-19,12,0,33,0,8,8
